PlayerName,Turnovers,Turnovers_ZScore,Turnovers_Rank
Luka Dončić,4.5,2.9116490168876608,1
James Harden,4.4,2.7997905593442978,2
Paul George,4.1,2.4642151867142075,3
Trae Young,4.0,2.352356729170845,4
Nikola Jokić,3.8,2.128639814084118,5
Russell Westbrook,3.8,2.128639814084118,5
Cade Cunningham,3.7,2.0167813565407555,7
Darius Garland,3.6,1.904922898997392,8
LeBron James,3.5,1.7930644414540289,9
Kevin Durant,3.5,1.7930644414540289,9
Julius Randle,3.4,1.6812059839106657,11
Ja Morant,3.4,1.6812059839106657,11
Bradley Beal,3.4,1.6812059839106657,11
LaMelo Ball,3.3,1.5693475263673025,14
Giannis Antetokounmpo,3.3,1.5693475263673025,14
Josh Giddey,3.2,1.4574890688239397,16
Stephen Curry,3.2,1.4574890688239397,16
Joel Embiid,3.1,1.3456306112805765,18
Kevin Porter Jr.,3.1,1.3456306112805765,18
Karl-Anthony Towns,3.1,1.3456306112805765,18
Domantas Sabonis,3.1,1.3456306112805765,18
Draymond Green,3.0,1.2337721537372133,22
Jalen Suggs,3.0,1.2337721537372133,22
Donovan Mitchell,3.0,1.2337721537372133,22
Damian Lillard,2.9,1.12191369619385,25
Khris Middleton,2.9,1.12191369619385,25
Jayson Tatum,2.9,1.12191369619385,25
De'Aaron Fox,2.8,1.0100552386504869,28
Shai Gilgeous-Alexander,2.8,1.0100552386504869,28
Jrue Holiday,2.7,0.8981967811071241,30
Brandon Ingram,2.7,0.8981967811071241,30
Kyle Lowry,2.7,0.8981967811071241,30
Pascal Siakam,2.7,0.8981967811071241,30
Jaylen Brown,2.7,0.8981967811071241,30
Jusuf Nurkić,2.6,0.7863383235637608,35
Dejounte Murray,2.6,0.7863383235637608,35
Fred VanVleet,2.6,0.7863383235637608,35
Zach LaVine,2.6,0.7863383235637608,35
Kyle Kuzma,2.6,0.7863383235637608,35
Cole Anthony,2.6,0.7863383235637608,35
Tyrese Haliburton,2.6,0.7863383235637608,35
Tyler Herro,2.6,0.7863383235637608,35
Anthony Edwards,2.6,0.7863383235637608,35
Ricky Rubio,2.6,0.7863383235637608,35
Bam Adebayo,2.6,0.7863383235637608,35
Jordan Poole,2.5,0.6744798660203976,46
D'Angelo Russell,2.5,0.6744798660203976,46
Kyrie Irving,2.5,0.6744798660203976,46
DeMar DeRozan,2.4,0.5626214084770343,49
Jonas Valančiūnas,2.4,0.5626214084770343,49
Devin Booker,2.4,0.5626214084770343,49
Chris Paul,2.4,0.5626214084770343,49
Brandon Williams,2.4,0.5626214084770343,49
Reggie Jackson,2.3,0.4507629509336711,54
Lonzo Ball,2.3,0.4507629509336711,54
Marcus Smart,2.2,0.33890449339030837,56
RJ Barrett,2.2,0.33890449339030837,56
Dennis Schröder,2.2,0.33890449339030837,56
Josh Hart,2.1,0.2270460358469451,59
Malcolm Brogdon,2.1,0.2270460358469451,59
Jimmy Butler III,2.1,0.2270460358469451,59
Anthony Davis,2.1,0.2270460358469451,59
Eric Bledsoe,2.1,0.2270460358469451,59
CJ McCollum,2.0,0.11518757830358187,64
Anfernee Simons,2.0,0.11518757830358187,64
Jalen Green,2.0,0.11518757830358187,64
Christian Wood,1.9,0.0033291207602186325,67
Wendell Carter Jr.,1.9,0.0033291207602186325,67
Buddy Hield,1.9,0.0033291207602186325,67
Nikola Vučević,1.9,0.0033291207602186325,67
Caris LeVert,1.9,0.0033291207602186325,67
Eric Gordon,1.9,0.0033291207602186325,67
Miles Bridges,1.9,0.0033291207602186325,67
Evan Mobley,1.9,0.0033291207602186325,67
Aaron Gordon,1.8,-0.10852933678314436,75
Will Barton,1.8,-0.10852933678314436,75
Jae'Sean Tate,1.8,-0.10852933678314436,75
Rudy Gobert,1.8,-0.10852933678314436,75
Scottie Barnes,1.8,-0.10852933678314436,75
Jerami Grant,1.8,-0.10852933678314436,75
Bojan Bogdanović,1.7,-0.2203877943265076,81
Seth Curry,1.7,-0.2203877943265076,81
Mike Conley,1.7,-0.2203877943265076,81
Luguentz Dort,1.7,-0.2203877943265076,81
Gordon Hayward,1.7,-0.2203877943265076,81
OG Anunoby,1.7,-0.2203877943265076,81
Jarrett Allen,1.7,-0.2203877943265076,81
Jaren Jackson Jr.,1.7,-0.2203877943265076,81
Tobias Harris,1.6,-0.33224625186987056,89
Spencer Dinwiddie,1.6,-0.33224625186987056,89
Kristaps Porziņģis,1.6,-0.33224625186987056,89
Malik Monk,1.6,-0.33224625186987056,89
Jakob Poeltl,1.6,-0.33224625186987056,89
Jalen Brunson,1.6,-0.33224625186987056,89
Deandre Ayton,1.6,-0.33224625186987056,89
Jordan Clarkson,1.6,-0.33224625186987056,89
Chris Duarte,1.6,-0.33224625186987056,89
Derrick White,1.6,-0.33224625186987056,89
Dillon Brooks,1.6,-0.33224625186987056,89
Steven Adams,1.5,-0.4441047094132338,100
Harrison Barnes,1.5,-0.4441047094132338,100
Norman Powell,1.5,-0.4441047094132338,100
Franz Wagner,1.5,-0.4441047094132338,100
Desmond Bane,1.5,-0.4441047094132338,100
Andrew Wiggins,1.5,-0.4441047094132338,100
Davion Mitchell,1.5,-0.4441047094132338,100
Devonte' Graham,1.4,-0.5559631669565971,107
Ayo Dosunmu,1.4,-0.5559631669565971,107
Talen Horton-Tucker,1.4,-0.5559631669565971,107
Alex Caruso,1.4,-0.5559631669565971,107
Marcus Morris Sr.,1.3,-0.6678216244999601,111
Myles Turner,1.3,-0.6678216244999601,111
P.J. Washington,1.3,-0.6678216244999601,111
Bobby Portis,1.3,-0.6678216244999601,111
Kentavious Caldwell-Pope,1.3,-0.6678216244999601,111
Patrick Beverley,1.3,-0.6678216244999601,111
Klay Thompson,1.3,-0.6678216244999601,111
Darius Bazley,1.3,-0.6678216244999601,111
De'Andre Hunter,1.3,-0.6678216244999601,111
Herbert Jones,1.3,-0.6678216244999601,111
Kemba Walker,1.3,-0.6678216244999601,111
Terry Rozier,1.3,-0.6678216244999601,111
Evan Fournier,1.3,-0.6678216244999601,111
Kevin Huerter,1.2,-0.7796800820433233,124
Tyrese Maxey,1.2,-0.7796800820433233,124
Keldon Johnson,1.2,-0.7796800820433233,124
Isaiah Stewart,1.2,-0.7796800820433233,124
Saddiq Bey,1.2,-0.7796800820433233,124
Bogdan Bogdanović,1.1,-0.8915385395866863,129
Alec Burks,1.1,-0.8915385395866863,129
Coby White,1.1,-0.8915385395866863,129
John Collins,1.1,-0.8915385395866863,129
Mo Bamba,1.1,-0.8915385395866863,129
Robert Covington,1.1,-0.8915385395866863,129
Jaden McDaniels,1.1,-0.8915385395866863,129
Robert Williams III,1.0,-1.0033969971300496,136
Royce O'Neale,1.0,-1.0033969971300496,136
Terance Mann,1.0,-1.0033969971300496,136
Gary Harris,1.0,-1.0033969971300496,136
Dorian Finney-Smith,1.0,-1.0033969971300496,136
Nassir Little,1.0,-1.0033969971300496,136
Monté Morris,1.0,-1.0033969971300496,136
Jarred Vanderbilt,1.0,-1.0033969971300496,136
Gary Trent Jr.,1.0,-1.0033969971300496,136
Carmelo Anthony,0.9,-1.1152554546734126,145
Justin Holiday,0.9,-1.1152554546734126,145
Kelly Oubre Jr.,0.9,-1.1152554546734126,145
Patty Mills,0.9,-1.1152554546734126,145
Cody Martin,0.9,-1.1152554546734126,145
Al Horford,0.9,-1.1152554546734126,145
Lauri Markkanen,0.9,-1.1152554546734126,145
Isaac Okoro,0.9,-1.1152554546734126,145
P.J. Tucker,0.9,-1.1152554546734126,145
Luke Kennard,0.9,-1.1152554546734126,145
Mikal Bridges,0.8,-1.2271139122167758,155
Mitchell Robinson,0.8,-1.2271139122167758,155
Devin Vassell,0.8,-1.2271139122167758,155
Duncan Robinson,0.8,-1.2271139122167758,155
Tim Hardaway Jr.,0.8,-1.2271139122167758,155
Jae Crowder,0.8,-1.2271139122167758,155
Cameron Johnson,0.7,-1.338972369760139,161
Grayson Allen,0.7,-1.338972369760139,161
Danilo Gallinari,0.6,-1.4508308273035022,163
Clint Capela,0.6,-1.4508308273035022,163
Matisse Thybulle,0.6,-1.4508308273035022,163
Reggie Bullock Jr.,0.6,-1.4508308273035022,163
Garrison Mathews,0.6,-1.4508308273035022,163
Pat Connaughton,0.5,-1.5626892848468652,168
