PlayerName,Blocks,Blocks_ZScore,Blocks_Rank
Myles Turner,2.8,4.627036127540357,1
Jaren Jackson Jr.,2.3,3.585022629649231,2
Anthony Davis,2.3,3.585022629649231,2
Robert Williams III,2.2,3.3766199300710067,4
Rudy Gobert,2.1,3.168217230492781,5
Mitchell Robinson,1.8,2.543009131758106,6
Evan Mobley,1.7,2.3346064321798803,7
Jakob Poeltl,1.7,2.3346064321798803,7
Mo Bamba,1.7,2.3346064321798803,7
Kristaps Porziņģis,1.6,2.126203732601655,10
Joel Embiid,1.5,1.9178010330234299,11
Giannis Antetokounmpo,1.4,1.7093983334452043,12
Al Horford,1.3,1.5009956338669794,13
Jarrett Allen,1.3,1.5009956338669794,13
Robert Covington,1.3,1.5009956338669794,13
Clint Capela,1.3,1.5009956338669794,13
Isaiah Stewart,1.1,1.084190234710529,17
Karl-Anthony Towns,1.1,1.084190234710529,17
Draymond Green,1.1,1.084190234710529,17
LeBron James,1.1,1.084190234710529,17
Matisse Thybulle,1.1,1.084190234710529,17
Darius Bazley,1.0,0.8757875351323036,22
John Collins,1.0,0.8757875351323036,22
Jerami Grant,1.0,0.8757875351323036,22
Christian Wood,1.0,0.8757875351323036,22
Nikola Vučević,1.0,0.8757875351323036,22
Nassir Little,0.9,0.6673848355540783,27
Patrick Beverley,0.9,0.6673848355540783,27
Kyle Kuzma,0.9,0.6673848355540783,27
P.J. Washington,0.9,0.6673848355540783,27
Kevin Durant,0.9,0.6673848355540783,27
Nikola Jokić,0.9,0.6673848355540783,27
Lonzo Ball,0.9,0.6673848355540783,27
Derrick White,0.8,0.4589821359758532,34
Jonas Valančiūnas,0.8,0.4589821359758532,34
Jaden McDaniels,0.8,0.4589821359758532,34
Miles Bridges,0.8,0.4589821359758532,34
Herbert Jones,0.8,0.4589821359758532,34
Bam Adebayo,0.8,0.4589821359758532,34
Steven Adams,0.8,0.4589821359758532,34
Carmelo Anthony,0.8,0.4589821359758532,34
Shai Gilgeous-Alexander,0.8,0.4589821359758532,34
Deandre Ayton,0.7,0.25057943639762775,43
Wendell Carter Jr.,0.7,0.25057943639762775,43
Andrew Wiggins,0.7,0.25057943639762775,43
Cade Cunningham,0.7,0.25057943639762775,43
Scottie Barnes,0.7,0.25057943639762775,43
Bobby Portis,0.7,0.25057943639762775,43
Tyrese Haliburton,0.6,0.04217673681940258,49
James Harden,0.6,0.04217673681940258,49
Tobias Harris,0.6,0.04217673681940258,49
