PlayerName,Points,Points_ZScore,Points_Rank
Joel Embiid,33.1,2.5648342882024715,1
Luka Dončić,32.4,2.4549180967965025,2
Damian Lillard,32.2,2.423513470680512,3
Shai Gilgeous-Alexander,31.4,2.297894966216547,4
Giannis Antetokounmpo,31.1,2.250788027042561,5
Jayson Tatum,30.1,2.0937648964626057,6
Stephen Curry,29.4,1.9838487050566362,7
Kevin Durant,29.1,1.93674176588265,8
LeBron James,28.9,1.9053371397666585,9
Donovan Mitchell,28.3,1.8111232614186856,10
Devin Booker,27.8,1.732611696128708,11
Kyrie Irving,27.1,1.6226955047227394,12
Jaylen Brown,26.6,1.5441839394327617,13
Trae Young,26.2,1.4813746872007791,14
Ja Morant,26.2,1.4813746872007791,14
Zion Williamson,26.0,1.449970061084788,16
Anthony Davis,25.9,1.4342677480267925,17
Lauri Markkanen,25.6,1.3871608088528062,18
Julius Randle,25.1,1.3086492435628285,19
De'Aaron Fox,25.0,1.2929469305048327,20
Zach LaVine,24.8,1.2615423043888419,21
Brandon Ingram,24.7,1.245839991330846,22
Anthony Edwards,24.6,1.2301376782728508,23
Nikola Jokić,24.5,1.214435365214855,24
DeMar DeRozan,24.5,1.214435365214855,24
Pascal Siakam,24.2,1.1673284260408683,26
Jalen Brunson,24.0,1.1359237999248775,27
Paul George,23.8,1.1045191738088864,28
Kawhi Leonard,23.8,1.1045191738088864,28
LaMelo Ball,23.3,1.0260076085189087,30
Kristaps Porziņģis,23.2,1.0103052954609129,31
Bradley Beal,23.2,1.0103052954609129,31
Jimmy Butler III,22.9,0.9631983562869262,33
Jalen Green,22.1,0.8375798518229624,34
Keldon Johnson,22.0,0.8218775387649666,35
Klay Thompson,21.9,0.8061752257069708,36
Darius Garland,21.6,0.7590682865329846,37
Bojan Bogdanović,21.6,0.7590682865329846,37
Desmond Bane,21.5,0.7433659734749889,39
Kyle Kuzma,21.2,0.6962590343010021,40
Terry Rozier,21.1,0.6805567212430069,41
Anfernee Simons,21.1,0.6805567212430069,41
James Harden,21.0,0.6648544081850112,43
CJ McCollum,20.9,0.6491520951270154,44
Jordan Clarkson,20.8,0.6334497820690203,45
Karl-Anthony Towns,20.8,0.6334497820690203,45
Tyrese Haliburton,20.7,0.6177474690110244,47
Jerami Grant,20.5,0.5863428428950335,48
Dejounte Murray,20.5,0.5863428428950335,48
Jordan Poole,20.4,0.5706405298370377,50
Bam Adebayo,20.4,0.5706405298370377,50
Kelly Oubre Jr.,20.3,0.5549382167790425,52
Tyrese Maxey,20.3,0.5549382167790425,52
Tyler Herro,20.1,0.5235335906630515,54
Mikal Bridges,20.1,0.5235335906630515,54
Jamal Murray,20.0,0.5078312776050558,56
Paolo Banchero,20.0,0.5078312776050558,56
RJ Barrett,19.6,0.44502202537307384,58
Jrue Holiday,19.3,0.3979150861990871,59
Fred VanVleet,19.3,0.3979150861990871,59
Kevin Porter Jr.,19.2,0.38221277314109137,61
Domantas Sabonis,19.1,0.3665104600830961,62
Franz Wagner,18.6,0.28799889479311847,63
Jaren Jackson Jr.,18.6,0.28799889479311847,63
Devin Vassell,18.5,0.27229658173512267,65
Deandre Ayton,18.0,0.19378501644514498,66
Myles Turner,18.0,0.19378501644514498,66
D'Angelo Russell,17.8,0.16238039032915402,68
Nikola Vučević,17.6,0.13097576421316307,69
Gary Trent Jr.,17.4,0.09957113809717152,70
Michael Porter Jr.,17.4,0.09957113809717152,70
Spencer Dinwiddie,17.3,0.08386882503917632,72
Andrew Wiggins,17.1,0.05246419892318536,73
Norman Powell,17.0,0.036761885865189595,74
OG Anunoby,16.8,0.005357259749198626,75
Buddy Hield,16.8,0.005357259749198626,75
Bennedict Mathurin,16.7,-0.010345053308797135,77
Josh Giddey,16.6,-0.026047366366792342,78
Christian Wood,16.6,-0.026047366366792342,78
