PlayerName,FieldGoalPct,FieldGoalPct_ZScore,FieldGoalPct_Rank
CJ McCollum,0.437,-0.7085333580084476,130
Klay Thompson,0.436,-0.7244512476425742,132
Russell Westbrook,0.436,-0.7244512476425742,132
Donte DiVincenzo,0.435,-0.7403691372767008,134
Bennedict Mathurin,0.434,-0.7562870269108275,135
RJ Barrett,0.434,-0.7562870269108275,135
Gary Trent Jr.,0.433,-0.772204916544954,137
Kelly Oubre Jr.,0.431,-0.8040406958132074,138
Caris LeVert,0.431,-0.8040406958132074,138
Jordan Poole,0.43,-0.8199585854473339,140
Trae Young,0.429,-0.8358764750814606,141
Mike Conley,0.428,-0.8517943647155872,142
Paolo Banchero,0.427,-0.8677122543497139,143
P.J. Tucker,0.427,-0.8677122543497139,143
Marcus Morris Sr.,0.426,-0.8836301439838404,145
De'Anthony Melton,0.425,-0.8995480336179671,146
Saddiq Bey,0.422,-0.947301702520347,147
Jalen Green,0.416,-1.0428090403251067,148
Jaden Ivey,0.416,-1.0428090403251067,148
Terry Rozier,0.415,-1.0587269299592332,150
Dennis Schröder,0.415,-1.0587269299592332,150
Marcus Smart,0.415,-1.0587269299592332,150
Dennis Smith Jr.,0.412,-1.1064805988616133,153
LaMelo Ball,0.411,-1.1223984884957399,154
Max Strus,0.41,-1.1383163781298664,155
Reggie Bullock Jr.,0.409,-1.1542342677639932,156
Justise Winslow,0.409,-1.1542342677639932,156
Jabari Smith Jr.,0.408,-1.1701521573981197,158
Kyle Lowry,0.404,-1.2338237159346253,159
Gabe Vincent,0.402,-1.2656594952028786,160
Tim Hardaway Jr.,0.401,-1.2815773848370051,161
Patrick Beverley,0.4,-1.2974952744711319,162
Victor Oladipo,0.397,-1.3452489433735118,163
Dillon Brooks,0.396,-1.3611668330076383,164
Malik Beasley,0.395,-1.3770847226417648,165
Fred VanVleet,0.393,-1.4089205019100182,166
Dorian Finney-Smith,0.391,-1.4407562811782715,167
Luguentz Dort,0.388,-1.4885099500806513,168
Royce O'Neale,0.386,-1.5203457293489047,169
Killian Hayes,0.377,-1.6636067360560443,170
