PlayerName,Steals,Steals_ZScore,Steals_Rank
OG Anunoby,1.9,2.937457770530994,1
Fred VanVleet,1.8,2.630343489479168,2
Jimmy Butler III,1.8,2.630343489479168,2
Herbert Jones,1.6,2.0161149273755163,4
Tyrese Haliburton,1.6,2.0161149273755163,4
De'Anthony Melton,1.6,2.0161149273755163,4
Anthony Edwards,1.6,2.0161149273755163,4
Gary Trent Jr.,1.6,2.0161149273755163,4
Shai Gilgeous-Alexander,1.6,2.0161149273755163,4
Markelle Fultz,1.5,1.7090006463236902,10
Marcus Smart,1.5,1.7090006463236902,10
Paul George,1.5,1.7090006463236902,10
Chris Paul,1.5,1.7090006463236902,10
Donovan Mitchell,1.5,1.7090006463236902,10
Dejounte Murray,1.5,1.7090006463236902,10
Kentavious Caldwell-Pope,1.5,1.7090006463236902,10
Kawhi Leonard,1.4,1.401886365271864,17
Kelly Oubre Jr.,1.4,1.401886365271864,17
Killian Hayes,1.4,1.401886365271864,17
Kevin Porter Jr.,1.4,1.401886365271864,17
Luka Dončić,1.4,1.401886365271864,17
Dennis Smith Jr.,1.4,1.401886365271864,17
Victor Oladipo,1.4,1.401886365271864,17
Jalen Williams,1.4,1.401886365271864,17
Nikola Jokić,1.3,1.0947720842200384,25
Ben Simmons,1.3,1.0947720842200384,25
Tre Jones,1.3,1.0947720842200384,25
LaMelo Ball,1.3,1.0947720842200384,25
Donte DiVincenzo,1.3,1.0947720842200384,25
Jrue Holiday,1.2,0.7876578031682121,30
Andrew Wiggins,1.2,0.7876578031682121,30
Terry Rozier,1.2,0.7876578031682121,30
Buddy Hield,1.2,0.7876578031682121,30
Bam Adebayo,1.2,0.7876578031682121,30
Josh Hart,1.2,0.7876578031682121,30
James Harden,1.2,0.7876578031682121,30
Cameron Johnson,1.2,0.7876578031682121,30
Darius Garland,1.2,0.7876578031682121,30
Devin Vassell,1.1,0.48054352211638657,39
Jayson Tatum,1.1,0.48054352211638657,39
Ja Morant,1.1,0.48054352211638657,39
Jaylen Brown,1.1,0.48054352211638657,39
Zion Williamson,1.1,0.48054352211638657,39
DeMar DeRozan,1.1,0.48054352211638657,39
Trey Murphy III,1.1,0.48054352211638657,39
Anthony Davis,1.1,0.48054352211638657,39
Trae Young,1.1,0.48054352211638657,39
Scottie Barnes,1.1,0.48054352211638657,39
Mike Conley,1.1,0.48054352211638657,39
Kevin Huerter,1.1,0.48054352211638657,39
Mikal Bridges,1.1,0.48054352211638657,39
Bruce Brown,1.1,0.48054352211638657,39
Kyrie Irving,1.1,0.48054352211638657,39
De'Aaron Fox,1.1,0.48054352211638657,39
Kris Dunn,1.1,0.48054352211638657,39
Kyle Anderson,1.1,0.48054352211638657,39
Kyle Lowry,1.0,0.17342924106456034,57
