PlayerName,FreeThrowPct,FreeThrowPct_ZScore,FreeThrowPct_Rank
Stephen Curry,0.933,1.760100046384106,1
Chris Paul,0.924,1.64756298175222,2
Damian Lillard,0.921,1.6100506268749246,3
Kyrie Irving,0.916,1.5475300354127657,4
Jrue Holiday,0.909,1.4600012073657431,5
Klay Thompson,0.905,1.4099847341960159,6
Anfernee Simons,0.902,1.3724723793187203,7
Coby White,0.902,1.3724723793187203,7
Shai Gilgeous-Alexander,0.898,1.3224559061489933,9
Al Horford,0.895,1.2849435512716978,10
Tyus Jones,0.895,1.2849435512716978,10
Desmond Bane,0.894,1.272439432979266,12
Devin Booker,0.894,1.272439432979266,12
Cameron Johnson,0.893,1.2599353146868342,14
Trey Murphy III,0.887,1.1849106049322435,15
Jamal Murray,0.886,1.1724064866398116,16
Jordan Poole,0.883,1.1348941317625163,17
Jalen Suggs,0.882,1.1223900134700846,18
Cam Thomas,0.881,1.1098858951776527,19
Tyrese Maxey,0.879,1.084877658592789,20
Darius Garland,0.878,1.0723735403003574,21
Tyler Herro,0.878,1.0723735403003574,21
Austin Reaves,0.877,1.0598694220079254,23
Lauri Markkanen,0.876,1.0473653037154937,24
Jared McCain,0.875,1.034861185423062,25
Trae Young,0.875,1.034861185423062,25
James Harden,0.874,1.0223570671306301,27
Franz Wagner,0.871,0.9848447122533348,28
Miles Bridges,0.87,0.972340593960903,29
Immanuel Quickley,0.867,0.9348282390836076,30
Collin Sexton,0.865,0.909820002498744,31
Malik Monk,0.865,0.909820002498744,31
Kentavious Caldwell-Pope,0.863,0.8848117659138803,33
Brandon Miller,0.861,0.8598035293290168,34
Tobias Harris,0.861,0.8598035293290168,34
Gradey Dick,0.858,0.8222911744517214,36
DeMar DeRozan,0.857,0.8097870561592896,37
Max Christie,0.855,0.784778819574426,38
Tim Hardaway Jr.,0.855,0.784778819574426,38
Corey Kispert,0.852,0.7472664646971307,40
Terry Rozier,0.852,0.7472664646971307,40
Tyrese Haliburton,0.851,0.7347623464046988,42
Jerami Grant,0.849,0.7097541098198352,43
John Collins,0.848,0.6972499915274034,44
Gary Trent Jr.,0.848,0.6972499915274034,44
Cade Cunningham,0.846,0.6722417549425398,46
De'Andre Hunter,0.846,0.6722417549425398,46
Payton Pritchard,0.845,0.6597376366501081,48
LaMelo Ball,0.843,0.6347294000652445,49
Jimmy Butler III,0.842,0.6222252817728127,50
Kevin Durant,0.839,0.5847129268955172,51
Derrick White,0.839,0.5847129268955172,51
Dennis Schröder,0.838,0.5722088086030854,53
Anthony Edwards,0.837,0.5597046903106536,54
Victor Wembanyama,0.836,0.5472005720182219,55
Bobby Portis,0.836,0.5472005720182219,55
D'Angelo Russell,0.834,0.5221923354333583,57
Keegan Murray,0.833,0.5096882171409265,58
Bennedict Mathurin,0.831,0.4846799805560629,59
Karl-Anthony Towns,0.829,0.4596717439711993,60
Nikola Jović,0.828,0.4471676256787675,61
De'Aaron Fox,0.827,0.4346635073863357,62
Christian Braun,0.827,0.4346635073863357,62
Brook Lopez,0.826,0.42215938909390394,64
Jabari Smith Jr.,0.825,0.4096552708014721,65
Zach LaVine,0.825,0.4096552708014721,65
Herbert Jones,0.825,0.4096552708014721,65
Max Strus,0.824,0.3971511525090403,68
Ja Morant,0.824,0.3971511525090403,68
Dejounte Murray,0.823,0.3846470342166085,70
Donovan Mitchell,0.823,0.3846470342166085,70
Jaylen Wells,0.822,0.3721429159241767,72
Jalen Brunson,0.821,0.35963879763174494,73
Keyonte George,0.818,0.3221264427544495,74
Dillon Brooks,0.818,0.3221264427544495,74
Jalen Wilson,0.818,0.3221264427544495,74
Jayson Tatum,0.814,0.27210996958472233,77
Paul George,0.814,0.27210996958472233,77
Mikal Bridges,0.814,0.27210996958472233,77
Jaden McDaniels,0.813,0.2596058512922906,80
Taurean Prince,0.813,0.2596058512922906,80
Naji Marshall,0.813,0.2596058512922906,80
Jalen Green,0.813,0.2596058512922906,80
Bub Carrington,0.812,0.24710173299986016,84
Cason Wallace,0.811,0.23459761470742835,85
Kawhi Leonard,0.81,0.22209349641499654,86
Aaron Gordon,0.81,0.22209349641499654,86
Fred VanVleet,0.81,0.22209349641499654,86
OG Anunoby,0.81,0.22209349641499654,86
Kristaps Porziņģis,0.809,0.20958937812256476,90
Harrison Barnes,0.809,0.20958937812256476,90
Julius Randle,0.806,0.17207702324526936,92
Nikola Vučević,0.805,0.15957290495283757,93
Mark Williams,0.804,0.14706878666040576,94
Norman Powell,0.804,0.14706878666040576,94
Bradley Beal,0.803,0.13456466836797398,96
Spencer Dinwiddie,0.802,0.12206055007554217,97
Nikola Jokić,0.8,0.09705231349067858,98
Jordan Clarkson,0.797,0.059539958613383195,99
Andrew Nembhard,0.794,0.022027603736087805,100
Devin Vassell,0.792,-0.0029806328487757892,101
Jalen Williams,0.789,-0.040492987726071177,102
Ayo Dosunmu,0.785,-0.09050946089579837,103
Shaedon Sharpe,0.785,-0.09050946089579837,103
Luka Dončić,0.782,-0.12802181577309377,105
LeBron James,0.782,-0.12802181577309377,105
Josh Giddey,0.781,-0.14052593406552555,107
Jaren Jackson Jr.,0.781,-0.14052593406552555,107
Deni Avdija,0.78,-0.15303005235795736,109
Nickeil Alexander-Walker,0.78,-0.15303005235795736,109
Donte DiVincenzo,0.778,-0.17803828894282095,111
Naz Reid,0.776,-0.20304652552768454,112
Josh Hart,0.776,-0.20304652552768454,112
Anthony Davis,0.775,-0.21555064382011632,114
Myles Turner,0.773,-0.2405588804049799,115
Rui Hachimura,0.77,-0.27807123528227534,116
Michael Porter Jr.,0.768,-0.3030794718671389,117
Scoot Henderson,0.767,-0.3155835901595707,118
Bam Adebayo,0.765,-0.3405918267444343,119
Jaylen Brown,0.764,-0.3530959450368661,120
Andrew Wiggins,0.763,-0.3656000633292979,121
Onyeka Okongwu,0.759,-0.4156165364990251,122
Brandin Podziemski,0.758,-0.4281206547914569,123
Quentin Grimes,0.757,-0.4406247730838887,124
Scottie Barnes,0.755,-0.46563300966875226,125
Chet Holmgren,0.754,-0.47813712796118407,126
Domantas Sabonis,0.754,-0.47813712796118407,126
Kyshawn George,0.753,-0.4906412462536159,128
Kelly Oubre Jr.,0.751,-0.5156494828384794,129
Bilal Coulibaly,0.746,-0.5781700743006384,130
Jalen Johnson,0.746,-0.5781700743006384,130
Wendell Carter Jr.,0.737,-0.6907071389325246,132
Pascal Siakam,0.734,-0.72821949380982,133
Jaden Ivey,0.733,-0.7407236121022518,134
Paolo Banchero,0.727,-0.8157483218568425,135
Evan Mobley,0.725,-0.8407565584417062,136
Guerschon Yabusele,0.725,-0.8407565584417062,136
Stephon Castle,0.724,-0.853260676734138,138
P.J. Washington,0.722,-0.8782689133190016,139
Toumani Camara,0.722,-0.8782689133190016,139
Jarrett Allen,0.718,-0.9282853864887287,141
Luguentz Dort,0.717,-0.9407895047811605,142
CJ McCollum,0.717,-0.9407895047811605,142
Ochai Agbaji,0.708,-1.0533265694130467,144
Justin Edwards,0.696,-1.2033759889222282,145
Jeremy Sochan,0.696,-1.2033759889222282,145
Alperen Sengun,0.692,-1.2533924620919554,147
Santi Aldama,0.691,-1.2658965803843873,148
Davion Mitchell,0.69,-1.278400698676819,149
Draymond Green,0.687,-1.315913053554113,150
Amen Thompson,0.684,-1.3534254084314083,151
Isaiah Collier,0.682,-1.378433645016272,152
Josh Green,0.681,-1.390937763308704,153
Malik Beasley,0.679,-1.4159459998935675,154
Alex Sarr,0.679,-1.4159459998935675,154
Isaiah Hartenstein,0.675,-1.4659624730632945,156
Rudy Gobert,0.674,-1.4784665913557264,157
Jakob Poeltl,0.674,-1.4784665913557264,157
Jalen Duren,0.669,-1.5409871828178854,159
Dorian Finney-Smith,0.667,-1.565995419402749,160
Deandre Ayton,0.667,-1.565995419402749,160
Russell Westbrook,0.661,-1.6410201291573399,162
Ivica Zubac,0.661,-1.6410201291573399,162
Zion Williamson,0.656,-1.7035407206194988,164
Kyle Kuzma,0.634,-1.9786313230529984,165
RJ Barrett,0.63,-2.0286477962227254,166
Yves Missi,0.623,-2.116176624269748,167
Caleb Martin,0.622,-2.12868074256218,168
Giannis Antetokounmpo,0.617,-2.191201334024339,169
Dyson Daniels,0.593,-2.491300173042702,170
Walker Kessler,0.52,-3.4041008083902216,171
Nic Claxton,0.513,-3.4916296364372443,172
