PlayerName,Rebounds,Rebounds_ZScore,Rebounds_Rank
Domantas Sabonis,13.9,3.251234614150511,1
Karl-Anthony Towns,12.8,2.8220317192319535,2
Nikola Jokić,12.7,2.783013274239357,3
Ivica Zubac,12.6,2.743994829246761,4
Walker Kessler,12.2,2.587921049276376,5
Giannis Antetokounmpo,11.9,2.470865714298588,6
Anthony Davis,11.6,2.3538103793207994,7
Victor Wembanyama,11.0,2.119699709365223,8
Rudy Gobert,10.9,2.0806812643726267,9
Isaiah Hartenstein,10.7,2.002644374387434,10
Jalen Duren,10.3,1.84657059441705,11
Alperen Sengun,10.3,1.84657059441705,11
Deandre Ayton,10.2,1.8075521494244535,13
Mark Williams,10.2,1.8075521494244535,13
Nikola Vučević,10.1,1.7685337044318574,15
Jalen Johnson,10.0,1.7295152594392615,16
Jarrett Allen,9.7,1.6124599244614728,17
Bam Adebayo,9.6,1.5734414794688767,18
Josh Hart,9.6,1.5734414794688767,18
Jakob Poeltl,9.6,1.5734414794688767,18
Evan Mobley,9.3,1.4563861444910888,21
Onyeka Okongwu,8.9,1.3003123645207042,22
Jayson Tatum,8.7,1.2222754745355113,23
Bobby Portis,8.4,1.1052201395577235,24
John Collins,8.2,1.0271832495725308,25
Amen Thompson,8.2,1.0271832495725308,25
Luka Dončić,8.2,1.0271832495725308,25
Yves Missi,8.2,1.0271832495725308,25
Josh Giddey,8.1,0.9881648045799347,29
Chet Holmgren,8.0,0.9491463595873387,30
P.J. Washington,7.8,0.8711094696021464,31
LeBron James,7.8,0.8711094696021464,31
Scottie Barnes,7.7,0.8320910246095504,33
Miles Bridges,7.5,0.7540541346243581,34
Paolo Banchero,7.5,0.7540541346243581,34
Nic Claxton,7.4,0.7150356896317621,36
Deni Avdija,7.3,0.6760172446391658,37
Wendell Carter Jr.,7.2,0.6369987996465698,38
Zion Williamson,7.2,0.6369987996465698,38
Julius Randle,7.1,0.5979803546539734,40
Michael Porter Jr.,7.0,0.5589619096613774,41
Jabari Smith Jr.,7.0,0.5589619096613774,41
Pascal Siakam,6.9,0.5199434646687814,43
Kristaps Porziņģis,6.8,0.48092501967618506,44
Keegan Murray,6.7,0.44190657468358907,45
Alex Sarr,6.5,0.36386968469839676,46
Jeremy Sochan,6.5,0.36386968469839676,46
Dejounte Murray,6.5,0.36386968469839676,46
Myles Turner,6.5,0.36386968469839676,46
Santi Aldama,6.4,0.32485123970580077,50
RJ Barrett,6.3,0.2858327947132044,51
Al Horford,6.2,0.24681434972060842,52
Cade Cunningham,6.1,0.20779590472801207,53
Desmond Bane,6.1,0.20779590472801207,53
Kelly Oubre Jr.,6.1,0.20779590472801207,53
Draymond Green,6.1,0.20779590472801207,53
Naz Reid,6.0,0.16877745973541608,57
Kevin Durant,6.0,0.16877745973541608,57
Tobias Harris,5.9,0.12975901474282006,59
Lauri Markkanen,5.9,0.12975901474282006,59
Kawhi Leonard,5.9,0.12975901474282006,59
Dyson Daniels,5.9,0.12975901474282006,59
Toumani Camara,5.8,0.09074056975022374,63
James Harden,5.8,0.09074056975022374,63
Jaylen Brown,5.8,0.09074056975022374,63
Franz Wagner,5.7,0.05172212475762773,66
Jaden McDaniels,5.7,0.05172212475762773,66
Anthony Edwards,5.7,0.05172212475762773,66
Kyle Kuzma,5.7,0.05172212475762773,66
Jaren Jackson Jr.,5.6,0.012703679765031391,70
Guerschon Yabusele,5.6,0.012703679765031391,70
Jimmy Butler III,5.4,-0.0653332102201606,72
Bennedict Mathurin,5.3,-0.10435165521275694,73
Paul George,5.3,-0.10435165521275694,73
Jalen Williams,5.3,-0.10435165521275694,73
Christian Braun,5.2,-0.14337010020535293,76
Tyler Herro,5.2,-0.14337010020535293,76
Brandin Podziemski,5.1,-0.18238854519794928,78
Trey Murphy III,5.1,-0.18238854519794928,78
Brook Lopez,5.0,-0.22140699019054527,80
Shai Gilgeous-Alexander,5.0,-0.22140699019054527,80
Rui Hachimura,5.0,-0.22140699019054527,80
Bilal Coulibaly,5.0,-0.22140699019054527,80
LaMelo Ball,4.9,-0.26042543518314126,84
Russell Westbrook,4.9,-0.26042543518314126,84
Brandon Miller,4.9,-0.26042543518314126,84
De'Aaron Fox,4.8,-0.29944388017573764,87
Kyrie Irving,4.8,-0.29944388017573764,87
OG Anunoby,4.8,-0.29944388017573764,87
Naji Marshall,4.8,-0.29944388017573764,87
Aaron Gordon,4.8,-0.29944388017573764,87
Damian Lillard,4.7,-0.33846232516833363,92
Jalen Green,4.6,-0.37748077016092996,93
Shaedon Sharpe,4.5,-0.41649921515352595,94
Andrew Wiggins,4.5,-0.41649921515352595,94
Donovan Mitchell,4.5,-0.41649921515352595,94
Austin Reaves,4.5,-0.41649921515352595,94
Derrick White,4.5,-0.41649921515352595,94
Stephen Curry,4.4,-0.45551766014612194,99
Cameron Johnson,4.3,-0.4945361051387183,100
Max Strus,4.3,-0.4945361051387183,100
Zach LaVine,4.3,-0.4945361051387183,100
Quentin Grimes,4.3,-0.4945361051387183,100
Jrue Holiday,4.3,-0.4945361051387183,100
Kyshawn George,4.2,-0.5335545501313143,105
Bub Carrington,4.2,-0.5335545501313143,105
Devin Booker,4.1,-0.5725729951239107,107
Jaden Ivey,4.1,-0.5725729951239107,107
Ja Morant,4.1,-0.5725729951239107,107
Luguentz Dort,4.1,-0.5725729951239107,107
Devin Vassell,4.0,-0.6115914401165067,111
De'Andre Hunter,4.0,-0.6115914401165067,111
Jalen Suggs,4.0,-0.6115914401165067,111
Jamal Murray,3.9,-0.6506098851091028,114
Dorian Finney-Smith,3.9,-0.6506098851091028,114
Caleb Martin,3.9,-0.6506098851091028,114
Nikola Jović,3.9,-0.6506098851091028,114
Herbert Jones,3.9,-0.6506098851091028,114
DeMar DeRozan,3.9,-0.6506098851091028,114
CJ McCollum,3.8,-0.689628330101699,120
Ochai Agbaji,3.8,-0.689628330101699,120
Payton Pritchard,3.8,-0.689628330101699,120
Malik Monk,3.8,-0.689628330101699,120
Harrison Barnes,3.8,-0.689628330101699,120
Keyonte George,3.8,-0.689628330101699,120
Dillon Brooks,3.7,-0.728646775094295,126
Donte DiVincenzo,3.7,-0.728646775094295,126
Stephon Castle,3.7,-0.728646775094295,126
Terry Rozier,3.7,-0.728646775094295,126
Fred VanVleet,3.7,-0.728646775094295,126
Coby White,3.7,-0.728646775094295,126
Chris Paul,3.6,-0.7676652200868911,132
Gradey Dick,3.6,-0.7676652200868911,132
Taurean Prince,3.6,-0.7676652200868911,132
Jerami Grant,3.5,-0.8066836650794873,135
Immanuel Quickley,3.5,-0.8066836650794873,135
Tyrese Haliburton,3.5,-0.8066836650794873,135
Ayo Dosunmu,3.5,-0.8066836650794873,135
Klay Thompson,3.4,-0.8457021100720835,139
Cason Wallace,3.4,-0.8457021100720835,139
Jalen Wilson,3.4,-0.8457021100720835,139
Jaylen Wells,3.4,-0.8457021100720835,139
Justin Edwards,3.4,-0.8457021100720835,139
Tyrese Maxey,3.3,-0.8847205550646796,144
Andrew Nembhard,3.3,-0.8847205550646796,144
Isaiah Collier,3.3,-0.8847205550646796,144
Bradley Beal,3.3,-0.8847205550646796,144
Max Christie,3.3,-0.8847205550646796,144
Cam Thomas,3.3,-0.8847205550646796,144
Nickeil Alexander-Walker,3.2,-0.9237390000572756,150
Jordan Clarkson,3.2,-0.9237390000572756,150
Norman Powell,3.2,-0.9237390000572756,150
Mikal Bridges,3.2,-0.9237390000572756,150
Trae Young,3.1,-0.9627574450498718,154
Jordan Poole,3.0,-1.001775890042468,155
Scoot Henderson,3.0,-1.001775890042468,155
Corey Kispert,3.0,-1.001775890042468,155
Darius Garland,2.9,-1.0407943350350641,158
Jalen Brunson,2.9,-1.0407943350350641,158
D'Angelo Russell,2.8,-1.0798127800276602,160
Collin Sexton,2.7,-1.1188312250202563,161
Anfernee Simons,2.7,-1.1188312250202563,161
Malik Beasley,2.6,-1.1578496700128524,163
Spencer Dinwiddie,2.6,-1.1578496700128524,163
Dennis Schröder,2.6,-1.1578496700128524,163
Josh Green,2.5,-1.1968681150054488,166
Tyus Jones,2.4,-1.2358865599980449,167
Tim Hardaway Jr.,2.4,-1.2358865599980449,167
Jared McCain,2.4,-1.2358865599980449,167
Davion Mitchell,2.3,-1.274905004990641,170
Gary Trent Jr.,2.3,-1.274905004990641,170
Kentavious Caldwell-Pope,2.2,-1.313923449983237,172
