PlayerName,FieldGoalPct,FieldGoalPct_ZScore,FieldGoalPct_Rank
Jarrett Allen,0.706,3.9376567952520953,1
Jalen Duren,0.692,3.7019182053518653,2
Rudy Gobert,0.669,3.314633379087203,3
Walker Kessler,0.663,3.2136025548442473,4
Ivica Zubac,0.628,2.624256080093672,5
Jakob Poeltl,0.627,2.6074176093865127,6
Mark Williams,0.604,2.2201327831218487,7
Giannis Antetokounmpo,0.601,2.169617371000371,8
Domantas Sabonis,0.59,1.9843941932216187,9
Isaiah Hartenstein,0.581,1.832847956857185,10
Christian Braun,0.58,1.8160094861500256,11
Nikola Jokić,0.576,1.7486556033213885,12
Zion Williamson,0.567,1.5971093669569547,13
Onyeka Okongwu,0.567,1.5971093669569547,13
Deandre Ayton,0.566,1.5802708962497953,15
Nic Claxton,0.563,1.5297554841283176,16
Amen Thompson,0.557,1.4287246598853636,17
Evan Mobley,0.557,1.4287246598853636,17
Yves Missi,0.547,1.2603399528137706,19
Jeremy Sochan,0.535,1.058278304327859,20
Aaron Gordon,0.531,0.9909244214992219,21
Nikola Vučević,0.53,0.9740859507920625,22
John Collins,0.527,0.9235705386705847,23
Kevin Durant,0.527,0.9235705386705847,23
Karl-Anthony Towns,0.526,0.9067320679634253,25
Josh Hart,0.525,0.889893597256266,26
Pascal Siakam,0.519,0.7888627730133102,27
Shai Gilgeous-Alexander,0.519,0.7888627730133102,27
Anthony Davis,0.516,0.7383473608918324,29
LeBron James,0.513,0.6878319487703545,30
Zach LaVine,0.511,0.6541550073560358,31
Brook Lopez,0.509,0.6204780659417173,32
Rui Hachimura,0.509,0.6204780659417173,32
Harrison Barnes,0.508,0.603639595234558,34
Naji Marshall,0.508,0.603639595234558,34
Jimmy Butler III,0.504,0.5362857124059207,36
Michael Porter Jr.,0.504,0.5362857124059207,36
Guerschon Yabusele,0.501,0.48577030028444285,38
Jalen Johnson,0.5,0.4689318295772836,39
Mikal Bridges,0.5,0.4689318295772836,39
Kawhi Leonard,0.498,0.435254888162965,41
Ochai Agbaji,0.498,0.435254888162965,41
Bradley Beal,0.497,0.41841641745580566,43
Alperen Sengun,0.496,0.4015779467486464,44
Dyson Daniels,0.493,0.35106253462716847,45
Ayo Dosunmu,0.492,0.3342240639200092,46
Chet Holmgren,0.49,0.3005471225056906,47
Jalen Brunson,0.488,0.266870181091372,48
Jaren Jackson Jr.,0.488,0.266870181091372,48
Julius Randle,0.485,0.21635476896989408,50
Bam Adebayo,0.485,0.21635476896989408,50
Norman Powell,0.484,0.1995162982627348,52
Jalen Williams,0.484,0.1995162982627348,52
Desmond Bane,0.484,0.1995162982627348,52
Kristaps Porziņģis,0.483,0.1826778275555755,55
Santi Aldama,0.483,0.1826778275555755,55
Myles Turner,0.481,0.1490008861412569,57
Collin Sexton,0.48,0.1321624154340976,58
Tobias Harris,0.477,0.08164700331261969,59
Jaden McDaniels,0.477,0.08164700331261969,59
DeMar DeRozan,0.477,0.08164700331261969,59
Victor Wembanyama,0.476,0.06480853260546039,62
Deni Avdija,0.476,0.06480853260546039,62
OG Anunoby,0.476,0.06480853260546039,62
Cameron Johnson,0.475,0.04797006189830109,65
Jamal Murray,0.474,0.03113159119114179,66
Cason Wallace,0.474,0.03113159119114179,66
Tyrese Haliburton,0.473,0.01429312048398249,68
Kyrie Irving,0.473,0.01429312048398249,68
Tyler Herro,0.472,-0.002545350223176808,70
Payton Pritchard,0.472,-0.002545350223176808,70
Darius Garland,0.472,-0.002545350223176808,70
De'Andre Hunter,0.47,-0.03622229163749541,73
Kelly Oubre Jr.,0.47,-0.03622229163749541,73
Cade Cunningham,0.469,-0.053060762344654705,75
RJ Barrett,0.468,-0.06989923305181307,76
Davion Mitchell,0.468,-0.06989923305181307,76
Quentin Grimes,0.467,-0.08673770375897237,78
Bobby Portis,0.466,-0.10357617446613167,79
Josh Giddey,0.465,-0.12041464517329097,80
