PlayerName,Points,Points_ZScore,Points_Rank
Brandin Podziemski,11.7,-0.8691964858664374,132
Corey Kispert,11.6,-0.8870773369092585,134
Jeremy Sochan,11.4,-0.9228390389949006,135
Toumani Camara,11.3,-0.9407198900377216,136
Isaiah Hartenstein,11.2,-0.9586007410805429,137
Gary Trent Jr.,11.1,-0.976481592123364,138
Walker Kessler,11.1,-0.976481592123364,138
Jrue Holiday,11.1,-0.976481592123364,138
Guerschon Yabusele,11.0,-0.994362443166185,141
Spencer Dinwiddie,11.0,-0.994362443166185,141
Tim Hardaway Jr.,11.0,-0.994362443166185,141
Nikola Jović,10.7,-1.0480049962946485,144
Terry Rozier,10.6,-1.0658858473374695,145
Jaylen Wells,10.4,-1.1016475494231117,146
Ochai Agbaji,10.4,-1.1016475494231117,146
Nic Claxton,10.3,-1.1195284004659327,148
Herbert Jones,10.3,-1.1195284004659327,148
Tyus Jones,10.2,-1.1374092515087542,150
Luguentz Dort,10.1,-1.1552901025515752,151
Justin Edwards,10.1,-1.1552901025515752,151
Andrew Nembhard,10.0,-1.1731709535943962,153
Bub Carrington,9.8,-1.2089326556800384,154
Max Christie,9.6,-1.2446943577656806,155
Jalen Wilson,9.5,-1.2625752088085018,156
Max Strus,9.4,-1.2804560598513228,157
Nickeil Alexander-Walker,9.4,-1.2804560598513228,157
Yves Missi,9.1,-1.3340986129797863,159
Wendell Carter Jr.,9.1,-1.3340986129797863,159
Draymond Green,9.0,-1.3519794640226073,161
Al Horford,9.0,-1.3519794640226073,161
Chris Paul,8.8,-1.3877411661082495,163
Isaiah Collier,8.7,-1.4056220171510707,164
Kyshawn George,8.7,-1.4056220171510707,164
Dorian Finney-Smith,8.7,-1.4056220171510707,164
Kentavious Caldwell-Pope,8.7,-1.4056220171510707,164
Cason Wallace,8.4,-1.459264570279534,168
Taurean Prince,8.2,-1.4950262723651764,169
Caleb Martin,7.9,-1.5486688254936394,170
Davion Mitchell,7.9,-1.5486688254936394,170
Josh Green,7.4,-1.638073080707745,172
