PlayerName,Assists,Assists_ZScore,Assists_Rank
Trae Young,11.6,3.867708993493607,1
Nikola Jokić,10.2,3.168238977997354,2
Tyrese Haliburton,9.2,2.6686175383571733,3
Cade Cunningham,9.1,2.6186553943931554,4
James Harden,8.7,2.418806818537083,5
LeBron James,8.2,2.1689960987169927,6
Luka Dončić,7.7,1.9191853788969029,7
Dejounte Murray,7.4,1.7692989470048488,8
Chris Paul,7.4,1.7692989470048488,8
LaMelo Ball,7.4,1.7692989470048488,8
Jalen Brunson,7.3,1.7193368030408305,11
Ja Morant,7.3,1.7193368030408305,11
Josh Giddey,7.2,1.6693746590768126,13
Damian Lillard,7.1,1.6194125151127943,14
Devin Booker,7.1,1.6194125151127943,14
Darius Garland,6.7,1.4195639392567223,16
Giannis Antetokounmpo,6.5,1.319639651328686,17
Shai Gilgeous-Alexander,6.4,1.2696775073646682,18
Isaiah Collier,6.3,1.21971536340065,19
De'Aaron Fox,6.3,1.21971536340065,19
Russell Westbrook,6.1,1.1197910754726137,21
Tyrese Maxey,6.1,1.1197910754726137,21
Jayson Tatum,6.0,1.0698289315085958,23
Jamal Murray,6.0,1.0698289315085958,23
Domantas Sabonis,6.0,1.0698289315085958,23
Stephen Curry,6.0,1.0698289315085958,23
Josh Hart,5.9,1.019866787544578,27
Scottie Barnes,5.8,0.9699046435805596,28
Immanuel Quickley,5.8,0.9699046435805596,28
Austin Reaves,5.8,0.9699046435805596,28
Keyonte George,5.6,0.8699803556525234,31
Fred VanVleet,5.6,0.8699803556525234,31
Malik Monk,5.6,0.8699803556525234,31
Draymond Green,5.6,0.8699803556525234,31
Tyler Herro,5.5,0.8200182116885055,35
Dennis Schröder,5.4,0.7700560677244876,36
Jimmy Butler III,5.4,0.7700560677244876,36
RJ Barrett,5.4,0.7700560677244876,36
Desmond Bane,5.3,0.7200939237604693,39
Zion Williamson,5.3,0.7200939237604693,39
Tyus Jones,5.3,0.7200939237604693,39
D'Angelo Russell,5.1,0.6201696358324331,42
Scoot Henderson,5.1,0.6201696358324331,42
Jalen Williams,5.1,0.6201696358324331,42
Jalen Johnson,5.0,0.5702074918684152,45
Donovan Mitchell,5.0,0.5702074918684152,45
