PlayerName,Points,Points_ZScore,Points_Rank
Joel Embiid,34.7,3.145235494649054,1
Luka Dončić,33.9,3.0070644212453748,2
Giannis Antetokounmpo,30.4,2.402565975104279,3
Shai Gilgeous-Alexander,30.1,2.3507518225779003,4
Jalen Brunson,28.7,2.1089524441214618,5
Devin Booker,27.1,1.832610297314104,6
Kevin Durant,27.1,1.832610297314104,6
Jayson Tatum,26.9,1.798067528963184,8
De'Aaron Fox,26.6,1.746253376436805,9
Donovan Mitchell,26.6,1.746253376436805,9
Stephen Curry,26.4,1.7117106080858846,11
Nikola Jokić,26.4,1.7117106080858846,11
Anthony Edwards,25.9,1.6253536872085852,13
Tyrese Maxey,25.9,1.6253536872085852,13
Trae Young,25.7,1.5908109188576656,15
LeBron James,25.7,1.5908109188576656,15
Kyrie Irving,25.6,1.573539534682206,17
Anthony Davis,24.7,1.418097077103067,18
Damian Lillard,24.3,1.3490115404012277,19
DeMar DeRozan,24.0,1.297197387874848,20
Julius Randle,24.0,1.297197387874848,20
LaMelo Ball,23.9,1.2799260036993878,22
Kawhi Leonard,23.7,1.2453832353484684,23
Desmond Bane,23.7,1.2453832353484684,23
Lauri Markkanen,23.2,1.159026314471169,25
Jaylen Brown,23.0,1.1244835461202494,26
Zion Williamson,22.9,1.1072121619447892,27
Cade Cunningham,22.7,1.0726693935938696,28
Paolo Banchero,22.6,1.05539800941841,29
Anfernee Simons,22.6,1.05539800941841,29
Paul George,22.6,1.05539800941841,29
Dejounte Murray,22.5,1.03812662524295,32
Jaren Jackson Jr.,22.5,1.03812662524295,32
Cam Thomas,22.5,1.03812662524295,32
Kyle Kuzma,22.2,0.9863124727165703,35
Karl-Anthony Towns,21.8,0.917226936014731,36
Pascal Siakam,21.7,0.8999555518392709,37
Victor Wembanyama,21.4,0.8481413993128912,38
Jamal Murray,21.2,0.8135986309619716,39
Alperen Sengun,21.1,0.7963272467865121,40
Jerami Grant,21.0,0.779055862611052,41
Miles Bridges,21.0,0.779055862611052,41
Brandon Ingram,20.8,0.7445130942601323,43
Jimmy Butler III,20.8,0.7445130942601323,43
Tyler Herro,20.8,0.7445130942601323,43
RJ Barrett,20.2,0.6408847892073729,46
Tyrese Haliburton,20.1,0.6236134050319134,47
Kristaps Porziņģis,20.1,0.6236134050319134,47
CJ McCollum,20.0,0.6063420208564533,49
Scottie Barnes,19.9,0.5890706366809932,50
Terry Rozier,19.8,0.5717992525055338,51
Franz Wagner,19.7,0.5545278683300736,52
Mikal Bridges,19.6,0.5372564841546141,53
Jalen Green,19.6,0.5372564841546141,53
Devin Vassell,19.5,0.519985099979154,55
Zach LaVine,19.5,0.519985099979154,55
Domantas Sabonis,19.4,0.5027137158036938,57
Bam Adebayo,19.3,0.48544233162823436,58
Jalen Williams,19.1,0.4508995632773148,59
Coby White,19.1,0.4508995632773148,59
Collin Sexton,18.7,0.3818140265754749,61
Bradley Beal,18.2,0.29545710569817557,62
Nikola Vučević,18.0,0.260914337347256,63
D'Angelo Russell,18.0,0.260914337347256,63
Darius Garland,18.0,0.260914337347256,63
Klay Thompson,17.9,0.24364295317179588,66
Fred VanVleet,17.4,0.15728603229449653,67
Jordan Poole,17.4,0.15728603229449653,67
Brandon Miller,17.3,0.14001464811903702,69
Tobias Harris,17.2,0.12274326394357692,70
Myles Turner,17.1,0.10547187976811742,71
Jordan Clarkson,17.1,0.10547187976811742,71
Immanuel Quickley,17.0,0.0882004955926573,73
Bogdan Bogdanović,16.9,0.0709291114171972,74
Michael Porter Jr.,16.7,0.03638634306627758,75
Deandre Ayton,16.7,0.03638634306627758,75
James Harden,16.6,0.019114958890818084,77
Chet Holmgren,16.5,0.001843574715357971,78
Jarrett Allen,16.5,0.001843574715357971,78
Jonathan Kuminga,16.1,-0.06724196198648125,80
Jalen Johnson,16.0,-0.08451334616194137,81
Austin Reaves,15.9,-0.10178473033740117,82
Shaedon Sharpe,15.9,-0.10178473033740117,82
Evan Mobley,15.7,-0.13632749868832109,84
Malcolm Brogdon,15.7,-0.13632749868832109,84
Keldon Johnson,15.7,-0.13632749868832109,84
De'Andre Hunter,15.6,-0.1535988828637809,87
Donte DiVincenzo,15.5,-0.17087026703924071,88
Malik Monk,15.4,-0.1881416512147005,89
Kelly Oubre Jr.,15.4,-0.1881416512147005,89
Jaden Ivey,15.4,-0.1881416512147005,89
Keegan Murray,15.2,-0.22268441956562043,92
Bojan Bogdanović,15.2,-0.22268441956562043,92
Derrick White,15.2,-0.22268441956562043,92
Khris Middleton,15.1,-0.23995580374108022,95
John Collins,15.1,-0.23995580374108022,95
Trey Murphy III,14.8,-0.29176995626745966,97
OG Anunoby,14.7,-0.30904134044291975,98
Deni Avdija,14.7,-0.30904134044291975,98
GG Jackson,14.6,-0.32631272461837957,100
Marcus Smart,14.5,-0.3435841087938394,101
Bennedict Mathurin,14.5,-0.3435841087938394,101
Tim Hardaway Jr.,14.4,-0.3608554929692992,103
Rudy Gobert,14.0,-0.42994102967113873,104
Dennis Schröder,14.0,-0.42994102967113873,104
Caris LeVert,14.0,-0.42994102967113873,104
Scoot Henderson,14.0,-0.42994102967113873,104
Norman Powell,13.9,-0.44721241384659854,108
Aaron Gordon,13.9,-0.44721241384659854,108
Jalen Duren,13.8,-0.4644837980220583,110
Jabari Smith Jr.,13.7,-0.48175518219751845,111
Gary Trent Jr.,13.7,-0.48175518219751845,111
Saddiq Bey,13.7,-0.48175518219751845,111
Rui Hachimura,13.6,-0.49902656637297826,114
Grayson Allen,13.5,-0.5162979505484381,115
Cameron Johnson,13.4,-0.5335693347238979,116
Corey Kispert,13.4,-0.5335693347238979,116
Andrew Wiggins,13.2,-0.5681121030748177,118
Keyonte George,13.0,-0.6026548714257374,119
P.J. Washington,12.9,-0.6199262556011972,120
Scotty Pippen Jr.,12.9,-0.6199262556011972,120
Duncan Robinson,12.9,-0.6199262556011972,120
Dillon Brooks,12.7,-0.6544690239521171,123
Jalen Suggs,12.6,-0.671740408127577,124
Brook Lopez,12.5,-0.6890117923030368,125
Jrue Holiday,12.5,-0.6890117923030368,125
Josh Giddey,12.3,-0.7235545606539563,127
Max Strus,12.2,-0.7408259448294164,128
Ayo Dosunmu,12.2,-0.7408259448294164,128
Aaron Nesmith,12.2,-0.7408259448294164,128
Harrison Barnes,12.2,-0.7408259448294164,128
Buddy Hield,12.1,-0.7580973290048763,132
Tyus Jones,12.0,-0.7753687131803361,133
Jaime Jaquez Jr.,11.9,-0.7926400973557959,134
Nic Claxton,11.8,-0.8099114815312557,135
Ivica Zubac,11.7,-0.8271828657067157,136
Jeremy Sochan,11.6,-0.8444542498821755,137
Clint Capela,11.5,-0.8617256340576354,138
Mike Conley,11.4,-0.8789970182330952,139
Malik Beasley,11.3,-0.896268402408555,140
Jakob Poeltl,11.1,-0.930811170759475,141
De'Anthony Melton,11.1,-0.930811170759475,141
Wendell Carter Jr.,11.0,-0.9480825549349348,143
Herbert Jones,11.0,-0.9480825549349348,143
Luke Kennard,11.0,-0.9480825549349348,143
Eric Gordon,11.0,-0.9480825549349348,143
Isaiah Stewart,10.9,-0.9653539391103946,147
Jusuf Nurkić,10.9,-0.9653539391103946,147
Luguentz Dort,10.9,-0.9653539391103946,147
Bruce Brown,10.8,-0.9826253232858544,150
Santi Aldama,10.7,-0.9998967074613144,151
Spencer Dinwiddie,10.5,-1.0344394758122342,152
Jaden McDaniels,10.5,-1.0344394758122342,152
Grant Williams,10.3,-1.0689822441631536,154
Onyeka Okongwu,10.2,-1.0862536283386137,155
Kentavious Caldwell-Pope,10.1,-1.1035250125140736,156
Alex Caruso,10.1,-1.1035250125140736,156
Tre Jones,10.0,-1.1207963966895333,158
