PlayerName,Rebounds,Rebounds_ZScore,Rebounds_Rank
Domantas Sabonis,13.7,3.3071240178738317,1
Rudy Gobert,12.9,2.9880627305125627,2
Anthony Davis,12.6,2.8684147477520865,3
Nikola Jokić,12.4,2.7886494259117693,4
Jalen Duren,11.6,2.4695881385504994,5
Giannis Antetokounmpo,11.5,2.429705477630341,6
Deandre Ayton,11.1,2.270174833949706,7
Jusuf Nurkić,11.0,2.2302921730295475,8
Joel Embiid,11.0,2.2302921730295475,8
Clint Capela,10.6,2.0707615293489128,10
Victor Wembanyama,10.6,2.0707615293489128,10
Jarrett Allen,10.5,2.030878868428754,12
Nikola Vučević,10.5,2.030878868428754,12
Bam Adebayo,10.4,1.9909962075085956,14
Nic Claxton,9.9,1.7915829029078023,15
Evan Mobley,9.4,1.592169598307009,16
Alperen Sengun,9.3,1.5522869373868504,17
Luka Dončić,9.2,1.5124042764666912,18
Ivica Zubac,9.2,1.5124042764666912,18
Julius Randle,9.2,1.5124042764666912,18
Jalen Johnson,8.7,1.3129909718658979,21
Jakob Poeltl,8.6,1.2731083109457393,22
John Collins,8.5,1.2332256500255807,23
Karl-Anthony Towns,8.3,1.1534603281852636,24
Josh Hart,8.3,1.1534603281852636,24
Isaiah Hartenstein,8.3,1.1534603281852636,24
Lauri Markkanen,8.2,1.1135776672651043,27
Scottie Barnes,8.2,1.1135776672651043,27
Jayson Tatum,8.1,1.0736950063449457,29
Jabari Smith Jr.,8.1,1.0736950063449457,29
Nick Richards,8.0,1.0338123454247874,31
Chet Holmgren,7.9,0.9939296845046288,32
Miles Bridges,7.3,0.7546337189836765,33
LeBron James,7.3,0.7546337189836765,33
Deni Avdija,7.2,0.714751058063518,35
Kristaps Porziņģis,7.2,0.714751058063518,35
Draymond Green,7.2,0.714751058063518,35
Pascal Siakam,7.1,0.6748683971433591,38
Michael Porter Jr.,7.0,0.6349857362232005,39
Wendell Carter Jr.,6.9,0.595103075303042,40
Myles Turner,6.9,0.595103075303042,40
Paolo Banchero,6.9,0.595103075303042,40
Onyeka Okongwu,6.8,0.5552204143828832,43
Kevin Durant,6.6,0.4754550925425657,44
Kyle Kuzma,6.6,0.4754550925425657,44
Isaiah Stewart,6.6,0.4754550925425657,44
Tobias Harris,6.5,0.43557243162240716,47
Aaron Gordon,6.5,0.43557243162240716,47
Saddiq Bey,6.5,0.43557243162240716,47
Josh Giddey,6.4,0.39568977070224864,50
Al Horford,6.4,0.39568977070224864,50
Jeremy Sochan,6.4,0.39568977070224864,50
Ausar Thompson,6.4,0.39568977070224864,50
Kawhi Leonard,6.1,0.2760417879417723,54
Santi Aldama,5.8,0.15639380518129636,55
Zion Williamson,5.8,0.15639380518129636,55
Brandin Podziemski,5.8,0.15639380518129636,55
Vince Williams Jr.,5.6,0.07662848334097892,58
P.J. Washington,5.6,0.07662848334097892,58
Jaren Jackson Jr.,5.5,0.03674582242082039,60
Jaylen Brown,5.5,0.03674582242082039,60
Shai Gilgeous-Alexander,5.5,0.03674582242082039,60
Keegan Murray,5.5,0.03674582242082039,60
Keldon Johnson,5.5,0.03674582242082039,60
Anthony Edwards,5.4,-0.0031368384993381445,65
RJ Barrett,5.4,-0.0031368384993381445,65
Jrue Holiday,5.4,-0.0031368384993381445,65
Tyler Herro,5.3,-0.04301949941949704,68
Franz Wagner,5.3,-0.04301949941949704,68
Jimmy Butler III,5.3,-0.04301949941949704,68
Dejounte Murray,5.3,-0.04301949941949704,68
Jalen Green,5.2,-0.08290216033965557,72
Brook Lopez,5.2,-0.08290216033965557,72
Zach LaVine,5.2,-0.08290216033965557,72
Paul George,5.2,-0.08290216033965557,72
Brandon Ingram,5.1,-0.12278482125981446,76
Donovan Mitchell,5.1,-0.12278482125981446,76
LaMelo Ball,5.1,-0.12278482125981446,76
James Harden,5.1,-0.12278482125981446,76
Kyrie Irving,5.0,-0.16266748217997298,80
Kelly Oubre Jr.,5.0,-0.16266748217997298,80
Shaedon Sharpe,5.0,-0.16266748217997298,80
Trey Murphy III,4.9,-0.20255014310013153,83
Max Strus,4.8,-0.2424328040202904,84
Jonathan Kuminga,4.8,-0.2424328040202904,84
Khris Middleton,4.7,-0.28231546494044896,86
Dorian Finney-Smith,4.7,-0.28231546494044896,86
De'Aaron Fox,4.6,-0.32219812586060786,88
Mikal Bridges,4.5,-0.3620807867807664,89
Andrew Wiggins,4.5,-0.3620807867807664,89
Coby White,4.5,-0.3620807867807664,89
Stephen Curry,4.5,-0.3620807867807664,89
Devin Booker,4.5,-0.3620807867807664,89
Bradley Beal,4.4,-0.4019634477009249,94
Damian Lillard,4.4,-0.4019634477009249,94
Desmond Bane,4.4,-0.4019634477009249,94
Caleb Martin,4.4,-0.4019634477009249,94
Brandon Miller,4.3,-0.4418461086210838,98
Rui Hachimura,4.3,-0.4418461086210838,98
Austin Reaves,4.3,-0.4418461086210838,98
Cade Cunningham,4.3,-0.4418461086210838,98
CJ McCollum,4.3,-0.4418461086210838,98
Cameron Johnson,4.3,-0.4418461086210838,98
DeMar DeRozan,4.3,-0.4418461086210838,98
Bruce Brown,4.2,-0.48172876954124233,105
OG Anunoby,4.2,-0.48172876954124233,105
Grant Williams,4.2,-0.48172876954124233,105
Derrick White,4.2,-0.48172876954124233,105
Nicolas Batum,4.1,-0.5216114304614012,109
Bilal Coulibaly,4.1,-0.5216114304614012,109
Caris LeVert,4.1,-0.5216114304614012,109
GG Jackson,4.1,-0.5216114304614012,109
Jamal Murray,4.1,-0.5216114304614012,109
Bennedict Mathurin,4.0,-0.5614940913815598,114
Terry Rozier,4.0,-0.5614940913815598,114
Jalen Williams,4.0,-0.5614940913815598,114
Patrick Williams,3.9,-0.6013767523017185,117
Tyrese Haliburton,3.9,-0.6013767523017185,117
Chris Paul,3.9,-0.6013767523017185,117
De'Andre Hunter,3.9,-0.6013767523017185,117
Cody Martin,3.9,-0.6013767523017185,117
Grayson Allen,3.9,-0.6013767523017185,117
Aaron Nesmith,3.8,-0.6412594132218772,123
Alex Caruso,3.8,-0.6412594132218772,123
Devin Vassell,3.8,-0.6412594132218772,123
Immanuel Quickley,3.8,-0.6412594132218772,123
Jaime Jaquez Jr.,3.8,-0.6412594132218772,123
Tre Jones,3.8,-0.6412594132218772,123
Malcolm Brogdon,3.8,-0.6412594132218772,123
Fred VanVleet,3.8,-0.6412594132218772,123
Donte DiVincenzo,3.7,-0.6811420741420358,131
De'Anthony Melton,3.7,-0.6811420741420358,131
Malik Beasley,3.7,-0.6811420741420358,131
Tyrese Maxey,3.7,-0.6811420741420358,131
Luguentz Dort,3.6,-0.7210247350621944,135
Anfernee Simons,3.6,-0.7210247350621944,135
Herbert Jones,3.6,-0.7210247350621944,135
Jalen Brunson,3.6,-0.7210247350621944,135
Jerami Grant,3.5,-0.7609073959823531,139
Dillon Brooks,3.4,-0.8007900569025118,140
Jaden Ivey,3.4,-0.8007900569025118,140
Jordan Clarkson,3.4,-0.8007900569025118,140
Bogdan Bogdanović,3.4,-0.8007900569025118,140
Klay Thompson,3.3,-0.8406727178226706,144
Buddy Hield,3.2,-0.8805553787428291,145
Cam Thomas,3.2,-0.8805553787428291,145
Josh Green,3.2,-0.8805553787428291,145
Tim Hardaway Jr.,3.2,-0.8805553787428291,145
Scotty Pippen Jr.,3.2,-0.8805553787428291,145
Kyle Lowry,3.2,-0.8805553787428291,145
Jalen Suggs,3.1,-0.9204380396629879,151
Jaden McDaniels,3.1,-0.9204380396629879,151
Scoot Henderson,3.1,-0.9204380396629879,151
D'Angelo Russell,3.1,-0.9204380396629879,151
Dennis Schröder,3.0,-0.9603207005831466,155
Isaac Okoro,3.0,-0.9603207005831466,155
Harrison Barnes,3.0,-0.9603207005831466,155
Mike Conley,2.9,-1.0002033615033052,158
Malik Monk,2.9,-1.0002033615033052,158
Taurean Prince,2.9,-1.0002033615033052,158
Luke Kennard,2.9,-1.0002033615033052,158
Ayo Dosunmu,2.8,-1.040086022423464,162
Trae Young,2.8,-1.040086022423464,162
Josh Richardson,2.8,-1.040086022423464,162
Corey Kispert,2.8,-1.040086022423464,162
Keyonte George,2.8,-1.040086022423464,162
Tyus Jones,2.7,-1.0799686833436224,167
Spencer Dinwiddie,2.7,-1.0799686833436224,167
Jordan Poole,2.7,-1.0799686833436224,167
Darius Garland,2.7,-1.0799686833436224,167
Bojan Bogdanović,2.7,-1.0799686833436224,167
Marcus Smart,2.7,-1.0799686833436224,167
Gary Trent Jr.,2.6,-1.1198513442637812,173
Collin Sexton,2.6,-1.1198513442637812,173
Norman Powell,2.6,-1.1198513442637812,173
Duncan Robinson,2.5,-1.15973400518394,176
Kentavious Caldwell-Pope,2.4,-1.1996166661040986,177
Eric Gordon,1.8,-1.4389126316250507,178
