PlayerName,FreeThrowPct,FreeThrowPct_ZScore,FreeThrowPct_Rank
Danilo Gallinari,0.931,1.612762274450235,1
Stephen Curry,0.921,1.508746440541455,2
Courtney Lee,0.919,1.487943273759699,3
Chris Paul,0.919,1.487943273759699,3
Damian Lillard,0.916,1.456738523587065,5
Jamal Murray,0.905,1.3423211062874068,6
JJ Redick,0.904,1.3319195228965288,7
Isaiah Thomas,0.893,1.2175021055968707,8
Patty Mills,0.89,1.1862973554242366,9
Kyrie Irving,0.889,1.1758957720333587,10
Kevin Durant,0.889,1.1758957720333587,10
Khris Middleton,0.884,1.1238878550789686,12
Malcolm Brogdon,0.882,1.1030846882972125,13
Darren Collison,0.882,1.1030846882972125,13
Lou Williams,0.88,1.0822815215154564,15
Kevin Love,0.88,1.0822815215154564,15
Devin Booker,0.878,1.0614783547337006,17
Buddy Hield,0.877,1.0510767713428224,18
Bojan Bogdanović,0.868,0.9574625208249203,19
Evan Fournier,0.867,0.9470609374340424,20
Ricky Rubio,0.866,0.9366593540431644,21
Kemba Walker,0.864,0.9158561872614083,22
Dario Šarić,0.86,0.8742498536978963,23
Rodney Hood,0.86,0.8742498536978963,23
Wayne Ellington,0.859,0.8638482703070183,25
Karl-Anthony Towns,0.858,0.8534466869161402,26
James Harden,0.858,0.8534466869161402,26
Jimmy Butler III,0.854,0.8118403533526282,28
Kyle Lowry,0.854,0.8118403533526282,28
Trevor Ariza,0.854,0.8118403533526282,28
Robert Covington,0.853,0.8014387699617502,31
Allen Crabbe,0.852,0.7910371865708722,32
Nikola Jokić,0.85,0.7702340197891162,33
Evan Turner,0.85,0.7702340197891162,33
Dennis Schröder,0.849,0.7598324363982382,35
Milos Teodosic,0.848,0.7494308530073601,36
Enes Freedom,0.848,0.7494308530073601,36
Jeff Teague,0.845,0.7182261028347261,38
Josh Richardson,0.845,0.7182261028347261,38
Taurean Prince,0.844,0.707824519443848,40
Lauri Markkanen,0.843,0.6974229360529701,41
Bogdan Bogdanović,0.84,0.666218185880336,42
Klay Thompson,0.837,0.635013435707702,43
LaMarcus Aldridge,0.837,0.635013435707702,43
CJ McCollum,0.836,0.624611852316824,45
Reggie Jackson,0.836,0.624611852316824,45
Marc Gasol,0.834,0.603808685535068,47
Nicolas Batum,0.831,0.5726039353624339,48
Marvin Williams,0.829,0.551800768580678,49
Tobias Harris,0.829,0.551800768580678,49
Anthony Davis,0.828,0.5413991851897999,51
Otto Porter Jr.,0.828,0.5413991851897999,51
Gary Harris,0.827,0.5309976017989219,53
Joe Harris,0.827,0.5309976017989219,53
Harrison Barnes,0.827,0.5309976017989219,53
Jayson Tatum,0.826,0.5205960184080439,56
DeMar DeRozan,0.825,0.5101944350171659,57
Justin Holiday,0.823,0.48939126823540985,58
Wesley Matthews,0.822,0.47898968484453186,59
Tyler Johnson,0.822,0.47898968484453186,59
Paul George,0.822,0.47898968484453186,59
Markieff Morris,0.82,0.4581865180627758,62
Kelly Oubre Jr.,0.82,0.4581865180627758,62
