PlayerName,Turnovers,Turnovers_ZScore,Turnovers_Rank
DeMarcus Cousins,5.0,3.824448416810301,1
Russell Westbrook,4.8,3.5783016268416983,2
James Harden,4.4,3.0860080469044946,3
LeBron James,4.2,2.839861256935892,4
John Wall,3.9,2.470641071982988,5
Joel Embiid,3.7,2.2244942820143865,6
Devin Booker,3.6,2.101420887030085,7
Ben Simmons,3.4,1.8552740970614827,8
D'Angelo Russell,3.1,1.4860539121085798,9
Stephen Curry,3.0,1.3629805171242786,10
Giannis Antetokounmpo,3.0,1.3629805171242786,10
Isaiah Thomas,3.0,1.3629805171242786,10
Lou Williams,3.0,1.3629805171242786,10
Kevin Durant,3.0,1.3629805171242786,10
Eric Bledsoe,2.9,1.2399071221399773,15
Draymond Green,2.9,1.2399071221399773,15
Victor Oladipo,2.9,1.2399071221399773,15
Kris Dunn,2.9,1.2399071221399773,15
Damian Lillard,2.8,1.116833727155676,19
Nikola Jokić,2.8,1.116833727155676,19
Dennis Smith Jr.,2.8,1.116833727155676,19
Blake Griffin,2.8,1.116833727155676,19
Elfrid Payton,2.7,0.9937603321713755,23
Donovan Mitchell,2.7,0.9937603321713755,23
Ricky Rubio,2.7,0.9937603321713755,23
Dennis Schröder,2.7,0.9937603321713755,23
Marc Gasol,2.7,0.9937603321713755,23
Paul George,2.7,0.9937603321713755,23
Bradley Beal,2.6,0.8706869371870742,29
Andre Drummond,2.6,0.8706869371870742,29
Dwight Howard,2.6,0.8706869371870742,29
Jrue Holiday,2.6,0.8706869371870742,29
Julius Randle,2.6,0.8706869371870742,29
Lonzo Ball,2.6,0.8706869371870742,29
Brandon Ingram,2.5,0.7476135422027731,35
Jeff Teague,2.5,0.7476135422027731,35
Kent Bazemore,2.4,0.6245401472184718,37
De'Aaron Fox,2.4,0.6245401472184718,37
Marcus Smart,2.4,0.6245401472184718,37
Kyle Lowry,2.3,0.5014667522341707,40
Kyrie Irving,2.3,0.5014667522341707,40
Dion Waiters,2.3,0.5014667522341707,40
Jusuf Nurkić,2.3,0.5014667522341707,40
Tyreke Evans,2.3,0.5014667522341707,40
Taurean Prince,2.3,0.5014667522341707,40
Rajon Rondo,2.3,0.5014667522341707,40
Khris Middleton,2.3,0.5014667522341707,40
Goran Dragic,2.2,0.37839335724987005,48
Kemba Walker,2.2,0.37839335724987005,48
Anthony Davis,2.2,0.37839335724987005,48
Chris Paul,2.2,0.37839335724987005,48
Reggie Jackson,2.2,0.37839335724987005,48
Caris LeVert,2.2,0.37839335724987005,48
Avery Bradley,2.2,0.37839335724987005,48
Milos Teodosic,2.2,0.37839335724987005,48
DeMar DeRozan,2.2,0.37839335724987005,48
Jonathon Simmons,2.1,0.25531996226556886,57
Jamal Murray,2.1,0.25531996226556886,57
Nicolas Batum,2.0,0.13224656728126766,59
Zach Randolph,2.0,0.13224656728126766,59
Dario Šarić,1.9,0.009173172296966448,61
Karl-Anthony Towns,1.9,0.009173172296966448,61
CJ McCollum,1.9,0.009173172296966448,61
Rudy Gobert,1.9,0.009173172296966448,61
Nikola Vučević,1.9,0.009173172296966448,61
James Johnson,1.9,0.009173172296966448,61
Josh Jackson,1.9,0.009173172296966448,61
Paul Millsap,1.9,0.009173172296966448,61
Kristaps Porziņģis,1.9,0.009173172296966448,61
Joe Ingles,1.9,0.009173172296966448,61
Eric Gordon,1.9,0.009173172296966448,61
Rondae Hollis-Jefferson,1.8,-0.11390022268733448,72
Kyle Kuzma,1.8,-0.11390022268733448,72
Klay Thompson,1.8,-0.11390022268733448,72
Zach LaVine,1.8,-0.11390022268733448,72
Will Barton,1.8,-0.11390022268733448,72
Aaron Gordon,1.8,-0.11390022268733448,72
Jimmy Butler III,1.8,-0.11390022268733448,72
Gary Harris,1.8,-0.11390022268733448,72
Jaylen Brown,1.8,-0.11390022268733448,72
DeAndre Jordan,1.8,-0.11390022268733448,72
Austin Rivers,1.8,-0.11390022268733448,72
Al Horford,1.8,-0.11390022268733448,72
Josh Richardson,1.7,-0.23697361767163566,84
Steven Adams,1.7,-0.23697361767163566,84
Markieff Morris,1.7,-0.23697361767163566,84
Hassan Whiteside,1.7,-0.23697361767163566,84
Evan Fournier,1.7,-0.23697361767163566,84
Andrew Wiggins,1.7,-0.23697361767163566,84
Robin Lopez,1.7,-0.23697361767163566,84
Enes Freedom,1.7,-0.23697361767163566,84
Bogdan Bogdanović,1.6,-0.3600470126559366,92
Tim Hardaway Jr.,1.6,-0.3600470126559366,92
Robert Covington,1.6,-0.3600470126559366,92
Spencer Dinwiddie,1.6,-0.3600470126559366,92
Buddy Hield,1.6,-0.3600470126559366,92
Myles Turner,1.5,-0.4831204076402378,97
Tyrone Wallace,1.5,-0.4831204076402378,97
LaMarcus Aldridge,1.5,-0.4831204076402378,97
Harrison Barnes,1.5,-0.4831204076402378,97
Dillon Brooks,1.5,-0.4831204076402378,97
Kevin Love,1.5,-0.4831204076402378,97
JJ Redick,1.5,-0.4831204076402378,97
Willie Cauley-Stein,1.5,-0.4831204076402378,97
Clint Capela,1.4,-0.606193802624539,105
Dragan Bender,1.4,-0.606193802624539,105
Jayson Tatum,1.4,-0.606193802624539,105
Malcolm Brogdon,1.4,-0.606193802624539,105
DeMarre Carroll,1.4,-0.606193802624539,105
