PlayerName,Assists,Assists_ZScore,Assists_Rank
Russell Westbrook,10.3,3.451485904073277,1
John Wall,9.6,3.1077099770833883,2
LeBron James,9.1,2.8621557435191827,3
James Harden,8.8,2.71482320338066,4
Rajon Rondo,8.2,2.4201581231036124,5
Ben Simmons,8.2,2.4201581231036124,5
Chris Paul,7.9,2.272825582965089,7
Draymond Green,7.3,1.9781605026880427,8
Lonzo Ball,7.2,1.9290496559752015,9
Jeff Teague,7.0,1.830827962549519,10
Kyle Lowry,6.9,1.781717115836678,11
Spencer Dinwiddie,6.6,1.6343845756981543,12
Damian Lillard,6.6,1.6343845756981543,12
Dennis Schröder,6.2,1.43794118884679,14
Elfrid Payton,6.2,1.43794118884679,14
Nikola Jokić,6.1,1.3888303421339485,16
Stephen Curry,6.1,1.3888303421339485,16
Kris Dunn,6.0,1.3397194954211076,18
Jrue Holiday,6.0,1.3397194954211076,18
Blake Griffin,5.8,1.2414978019954253,20
Kemba Walker,5.6,1.143276108569743,21
Nicolas Batum,5.5,1.0941652618569018,22
Kevin Durant,5.4,1.0450544151440608,23
DeMarcus Cousins,5.4,1.0450544151440608,23
Reggie Jackson,5.3,0.9959435684312195,25
Lou Williams,5.3,0.9959435684312195,25
Ricky Rubio,5.3,0.9959435684312195,25
Darren Collison,5.3,0.9959435684312195,25
DeMar DeRozan,5.2,0.9468327217183785,29
Tyreke Evans,5.2,0.9468327217183785,29
D'Angelo Russell,5.2,0.9468327217183785,29
Dennis Smith Jr.,5.2,0.9468327217183785,29
Kyrie Irving,5.1,0.8977218750055371,33
Eric Bledsoe,5.0,0.8486110282926962,34
Jimmy Butler III,4.9,0.7995001815798551,35
Marcus Smart,4.8,0.7503893348670138,36
Isaiah Thomas,4.8,0.7503893348670138,36
Joe Ingles,4.8,0.7503893348670138,36
Goran Dragic,4.8,0.7503893348670138,36
Giannis Antetokounmpo,4.8,0.7503893348670138,36
Al Horford,4.7,0.7012784881541728,41
Devin Booker,4.7,0.7012784881541728,41
Milos Teodosic,4.6,0.6521676414413314,43
Bradley Beal,4.5,0.6030567947284904,44
De'Aaron Fox,4.4,0.5539459480156494,45
