PlayerName,ThreePointPct,ThreePointPct_ZScore,ThreePointPct_Rank
Marc Gasol,0.667,2.8670322099947834,1
Nerlens Noel,0.5,1.520176381250907,2
Kenneth Faried,0.5,1.520176381250907,2
JJ Redick,0.475,1.3185512571874523,4
Stephen Curry,0.454,1.1491861529741507,5
Kawhi Leonard,0.443,1.0604710983862307,6
Jerryd Bayless,0.437,1.0120810686110016,7
Klay Thompson,0.425,0.9153010090605433,8
Jared Dudley,0.42,0.8749759842478524,9
CJ McCollum,0.417,0.8507809693602378,10
Tony Parker,0.415,0.8346509594351614,11
Jose Calderon,0.414,0.8265859544726233,12
Chandler Parsons,0.414,0.8265859544726233,12
Omri Casspi,0.409,0.7862609296599323,14
George Hill,0.408,0.7781959246973942,15
Alec Burks,0.405,0.75400090980978,16
Marvin Williams,0.402,0.7298058949221654,17
Jeff Teague,0.401,0.7217408899596273,18
Darren Collison,0.401,0.7217408899596273,18
Patrick Beverley,0.4,0.7136758849970891,20
Evan Fournier,0.4,0.7136758849970891,20
JR Smith,0.4,0.7136758849970891,20
Kyle Korver,0.398,0.6975458750720127,23
Khris Middleton,0.396,0.6814158651469363,24
Allen Crabbe,0.393,0.6572208502593218,25
DeMarre Carroll,0.39,0.6330258353717072,26
Zach LaVine,0.389,0.624960830409169,27
Draymond Green,0.388,0.6168958254466308,28
Kyle Lowry,0.388,0.6168958254466308,28
Tyreke Evans,0.388,0.6168958254466308,28
Kevin Durant,0.387,0.6088308204840926,31
Bradley Beal,0.387,0.6088308204840926,31
Eric Gordon,0.384,0.5846358055964781,33
Harrison Barnes,0.383,0.5765708006339398,34
Joe Johnson,0.383,0.5765708006339398,34
Bojan Bogdanović,0.382,0.5685057956714017,36
Arron Afflalo,0.382,0.5685057956714017,36
Hollis Thompson,0.38,0.5523757857463253,38
Courtney Lee,0.378,0.536245775821249,39
Damian Lillard,0.375,0.5120507609336343,40
Eric Bledsoe,0.372,0.48785574604601983,41
Ersan Ilyasova,0.371,0.47979074108348163,42
Paul George,0.371,0.47979074108348163,42
Kemba Walker,0.371,0.47979074108348163,42
Trevor Ariza,0.371,0.47979074108348163,42
Chris Paul,0.371,0.47979074108348163,42
Dirk Nowitzki,0.368,0.4555957261958671,47
Otto Porter Jr.,0.367,0.4475307212333289,48
Ryan Anderson,0.366,0.4394657162707907,49
Chris Bosh,0.365,0.4314007113082525,50
Rajon Rondo,0.365,0.4314007113082525,50
Danilo Gallinari,0.364,0.4233357063457143,52
Isaiah Canaan,0.363,0.4152707013831761,53
Mike Conley,0.363,0.4152707013831761,53
Patrick Patterson,0.362,0.4072056964206379,55
Marcus Morris Sr.,0.362,0.4072056964206379,55
Avery Bradley,0.361,0.39914069145809977,57
Al-Farouq Aminu,0.361,0.39914069145809977,57
Kevin Love,0.36,0.39107568649556157,59
Wesley Matthews,0.36,0.39107568649556157,59
Isaiah Thomas,0.359,0.38301068153302337,61
Rodney Hood,0.359,0.38301068153302337,61
James Harden,0.359,0.38301068153302337,61
Dion Waiters,0.358,0.3749456765704852,64
Tony Allen,0.357,0.366880671607947,65
Kent Bazemore,0.357,0.366880671607947,65
Gary Harris,0.354,0.34268565672033247,67
Robert Covington,0.353,0.33462065175779426,68
Reggie Jackson,0.353,0.33462065175779426,68
John Wall,0.351,0.31849064183271786,70
D'Angelo Russell,0.351,0.31849064183271786,70
Andre Iguodala,0.351,0.31849064183271786,70
Gordon Hayward,0.349,0.3023606319076415,73
Nicolas Batum,0.348,0.2942956269451033,74
Pau Gasol,0.348,0.2942956269451033,74
Victor Oladipo,0.348,0.2942956269451033,74
Jordan Clarkson,0.347,0.28623062198256516,77
Will Barton,0.345,0.27010061205748875,78
Luol Deng,0.344,0.26203560709495055,79
Rudy Gay,0.344,0.26203560709495055,79
Lou Williams,0.344,0.26203560709495055,79
Al Horford,0.344,0.26203560709495055,79
Deron Williams,0.344,0.26203560709495055,79
Devin Booker,0.343,0.25397060213241285,84
Brandon Knight,0.342,0.24590559716987465,85
Karl-Anthony Towns,0.341,0.23784059220733644,86
Jamal Crawford,0.34,0.22977558724479827,87
Carmelo Anthony,0.339,0.22171058228226007,88
DeMar DeRozan,0.338,0.2136455773197219,89
Jae Crowder,0.336,0.1975155673946455,90
Jrue Holiday,0.336,0.1975155673946455,90
Jeremy Lin,0.336,0.1975155673946455,90
Tobias Harris,0.335,0.18945056243210734,93
DeMarcus Cousins,0.333,0.17332055250703096,94
Kristaps Porziņģis,0.333,0.17332055250703096,94
Blake Griffin,0.333,0.17332055250703096,94
Andre Drummond,0.333,0.17332055250703096,94
Danny Green,0.332,0.16525554754449276,98
P.J. Tucker,0.33,0.14912553761941638,99
Ish Smith,0.329,0.1410605326568782,100
Serge Ibaka,0.326,0.11686551776926364,101
Ricky Rubio,0.326,0.11686551776926364,101
Elfrid Payton,0.326,0.11686551776926364,101
Norris Cole,0.324,0.10073550784418726,104
Anthony Davis,0.324,0.10073550784418726,104
Matt Barnes,0.322,0.08460549791911089,106
O.J. Mayo,0.321,0.0765404929565727,107
Kyrie Irving,0.321,0.0765404929565727,107
Paul Millsap,0.319,0.06041048303149633,109
Emmanuel Mudiay,0.319,0.06041048303149633,109
Jeff Green,0.315,0.028150463181343576,111
Goran Dragic,0.312,0.0039554482937290145,112
Jimmy Butler III,0.312,0.0039554482937290145,112
Monta Ellis,0.309,-0.02023956659388555,114
Kentavious Caldwell-Pope,0.309,-0.02023956659388555,114
LeBron James,0.309,-0.02023956659388555,114
Jarrett Jack,0.304,-0.06056459140657649,117
Markieff Morris,0.303,-0.06862959636911467,118
Andrew Wiggins,0.3,-0.09282461125672924,119
Gorgui Dieng,0.3,-0.09282461125672924,119
Jameer Nelson,0.299,-0.10088961621926743,121
Russell Westbrook,0.296,-0.12508463110688198,122
Derrick Rose,0.293,-0.14927964599449656,123
Kobe Bryant,0.285,-0.21379968569480204,124
Raymond Felton,0.282,-0.23799470058241662,125
Julius Randle,0.278,-0.27025472043256893,126
Justise Winslow,0.276,-0.2863847303576453,127
Michael Carter-Williams,0.273,-0.31057974524525983,128
Cory Joseph,0.273,-0.31057974524525983,128
Giannis Antetokounmpo,0.257,-0.43961982464587085,130
Jabari Parker,0.257,-0.43961982464587085,130
Marcus Smart,0.253,-0.4718798444960236,132
Evan Turner,0.241,-0.5686599040464818,133
Jerami Grant,0.24,-0.5767249090090201,134
Thaddeus Young,0.233,-0.6331799437467871,135
Zach Randolph,0.231,-0.6493099536718635,136
Nikola Vučević,0.222,-0.7218949983347072,137
Jahlil Okafor,0.167,-1.165470271274307,138
Dwyane Wade,0.159,-1.2299903109746126,139
Brook Lopez,0.143,-1.3590303903752237,140
Greg Monroe,0.0,-2.5123261000181834,141
Mason Plumlee,0.0,-2.5123261000181834,141
Marcin Gortat,0.0,-2.5123261000181834,141
Tristan Thompson,0.0,-2.5123261000181834,141
Ian Mahinmi,0.0,-2.5123261000181834,141
Tim Duncan,0.0,-2.5123261000181834,141
Hassan Whiteside,0.0,-2.5123261000181834,141
Taj Gibson,0.0,-2.5123261000181834,141
Steven Adams,0.0,-2.5123261000181834,141
DeAndre Jordan,0.0,-2.5123261000181834,141
Dwight Howard,0.0,-2.5123261000181834,141
Rudy Gobert,0.0,-2.5123261000181834,141
LaMarcus Aldridge,0.0,-2.5123261000181834,141
Derrick Favors,0.0,-2.5123261000181834,141
Robin Lopez,0.0,-2.5123261000181834,141
Jonas Valančiūnas,0.0,-2.5123261000181834,141
Zaza Pachulia,0.0,-2.5123261000181834,141
