PlayerName,Rebounds,Rebounds_ZScore,Rebounds_Rank
Andre Drummond,14.8,3.6033825852824117,1
DeAndre Jordan,13.8,3.216901463620068,2
Hassan Whiteside,11.8,2.4439392202953814,3
Dwight Howard,11.8,2.4439392202953814,3
DeMarcus Cousins,11.5,2.327994883796678,5
Rudy Gobert,11.0,2.134754322965506,6
Pau Gasol,11.0,2.134754322965506,6
Karl-Anthony Towns,10.5,1.9415137621343341,8
Anthony Davis,10.3,1.8642175378018657,9
Julius Randle,10.2,1.8255694256356307,10
Kevin Love,9.9,1.709625089136928,11
Marcin Gortat,9.9,1.709625089136928,11
Draymond Green,9.5,1.5550326404719903,13
Zaza Pachulia,9.4,1.5163845283057562,14
Jonas Valančiūnas,9.1,1.4004401918070528,15
Paul Millsap,9.0,1.3617920796408185,16
Thaddeus Young,9.0,1.3617920796408185,16
Tristan Thompson,9.0,1.3617920796408185,16
Nikola Vučević,8.9,1.3231439674745844,19
Greg Monroe,8.8,1.28449585530835,20
Kenneth Faried,8.7,1.245847743142115,21
LaMarcus Aldridge,8.5,1.1685515188096467,22
Blake Griffin,8.4,1.1299034066434124,23
Kevin Durant,8.2,1.0526071823109433,24
Nerlens Noel,8.1,1.013959070144709,25
Derrick Favors,8.1,1.013959070144709,25
Zach Randolph,7.8,0.898014733646006,27
Russell Westbrook,7.8,0.898014733646006,27
Brook Lopez,7.8,0.898014733646006,27
Giannis Antetokounmpo,7.7,0.8593666214797718,30
Carmelo Anthony,7.7,0.8593666214797718,30
Mason Plumlee,7.7,0.8593666214797718,30
Chris Bosh,7.4,0.7434222849810688,33
LeBron James,7.4,0.7434222849810688,33
Kristaps Porziņģis,7.3,0.7047741728148342,35
Tim Duncan,7.3,0.7047741728148342,35
Robin Lopez,7.3,0.7047741728148342,35
Al Horford,7.3,0.7047741728148342,35
Ian Mahinmi,7.1,0.6274779484823654,39
Gorgui Dieng,7.1,0.6274779484823654,39
Jahlil Okafor,7.0,0.5888298363161312,41
Marc Gasol,7.0,0.5888298363161312,41
Paul George,7.0,0.5888298363161312,41
Taj Gibson,6.9,0.550181724149897,44
Serge Ibaka,6.8,0.5115336119836623,45
Kawhi Leonard,6.8,0.5115336119836623,45
Tobias Harris,6.7,0.4728854998174281,47
Steven Adams,6.7,0.4728854998174281,47
Dirk Nowitzki,6.5,0.3955892754849593,49
Rudy Gay,6.5,0.3955892754849593,49
Marvin Williams,6.4,0.35694116331872505,51
Robert Covington,6.3,0.3182930511524905,52
P.J. Tucker,6.2,0.27964493898625625,53
Nicolas Batum,6.1,0.2409968268200217,54
James Harden,6.1,0.2409968268200217,54
Al-Farouq Aminu,6.1,0.2409968268200217,54
Luol Deng,6.0,0.20234871465378745,57
Ryan Anderson,6.0,0.20234871465378745,57
Rajon Rondo,6.0,0.20234871465378745,57
Omri Casspi,5.9,0.16370060248755322,60
Will Barton,5.8,0.12505249032131865,61
Matt Barnes,5.5,0.009108153822615612,62
Markieff Morris,5.5,0.009108153822615612,62
Ersan Ilyasova,5.4,-0.02953995834361862,64
Stephen Curry,5.4,-0.02953995834361862,64
Jimmy Butler III,5.3,-0.06818807050985319,66
Danilo Gallinari,5.3,-0.06818807050985319,66
Jabari Parker,5.2,-0.10683618267608742,68
Justise Winslow,5.2,-0.10683618267608742,68
Tyreke Evans,5.2,-0.10683618267608742,68
Otto Porter Jr.,5.2,-0.10683618267608742,68
Kent Bazemore,5.1,-0.145484294842322,72
Marcus Morris Sr.,5.1,-0.145484294842322,72
Michael Carter-Williams,5.1,-0.145484294842322,72
Jae Crowder,5.1,-0.145484294842322,72
Gordon Hayward,5.0,-0.18413240700855624,76
John Wall,4.9,-0.22278051917479047,77
Evan Turner,4.9,-0.22278051917479047,77
Harrison Barnes,4.9,-0.22278051917479047,77
Victor Oladipo,4.8,-0.26142863134102506,80
DeMarre Carroll,4.7,-0.30007674350725927,81
Jerami Grant,4.7,-0.30007674350725927,81
Chandler Parsons,4.7,-0.30007674350725927,81
Kyle Lowry,4.7,-0.30007674350725927,81
Tony Allen,4.6,-0.33872485567349386,85
Trevor Ariza,4.5,-0.37737296783972807,86
DeMar DeRozan,4.5,-0.37737296783972807,86
Kemba Walker,4.4,-0.41602108000596233,88
Ricky Rubio,4.3,-0.45466919217219687,89
Jarrett Jack,4.3,-0.45466919217219687,89
Patrick Patterson,4.3,-0.45466919217219687,89
Marcus Smart,4.2,-0.49331730433843113,92
Chris Paul,4.2,-0.49331730433843113,92
Jeff Green,4.2,-0.49331730433843113,92
Dwyane Wade,4.1,-0.5319654165046657,95
Andre Iguodala,4.0,-0.5706135286708999,96
Damian Lillard,4.0,-0.5706135286708999,96
Eric Bledsoe,4.0,-0.5706135286708999,96
George Hill,4.0,-0.5706135286708999,96
Jordan Clarkson,4.0,-0.5706135286708999,96
Ish Smith,4.0,-0.5706135286708999,96
Brandon Knight,3.9,-0.6092616408371343,102
Goran Dragic,3.8,-0.6479097530033687,103
Khris Middleton,3.8,-0.6479097530033687,103
Danny Green,3.8,-0.6479097530033687,103
Klay Thompson,3.8,-0.6479097530033687,103
Arron Afflalo,3.7,-0.6865578651696029,107
Kobe Bryant,3.7,-0.6865578651696029,107
