PlayerName,Points,Points_ZScore,Points_Rank
Stephen Curry,30.1,3.204423863664862,1
James Harden,29.0,2.977953082336117,2
Kevin Durant,28.2,2.8132470595515744,3
DeMarcus Cousins,26.9,2.545599772526694,4
LeBron James,25.3,2.2161877269576102,5
Damian Lillard,25.1,2.175011221261475,6
Anthony Davis,24.3,2.010305198476933,7
DeMar DeRozan,23.5,1.8455991756923908,8
Russell Westbrook,23.5,1.8455991756923908,8
Paul George,23.1,1.76324616430012,10
Isaiah Thomas,22.2,1.57795188866751,11
Klay Thompson,22.1,1.5573636358194427,12
Carmelo Anthony,21.8,1.4955988772752393,13
Blake Griffin,21.4,1.4132458658829679,14
Kyle Lowry,21.2,1.3720693601868326,15
Kawhi Leonard,21.2,1.3720693601868326,15
Jimmy Butler III,20.9,1.3103046016426292,17
Kemba Walker,20.9,1.3103046016426292,17
CJ McCollum,20.8,1.2897163487945618,19
Andrew Wiggins,20.7,1.2691280959464937,20
Brook Lopez,20.6,1.2485398430984265,21
Eric Bledsoe,20.4,1.2073633374022903,22
John Wall,19.9,1.1044220731619516,23
Gordon Hayward,19.7,1.0632455674658163,24
Kyrie Irving,19.6,1.042657314617749,25
Brandon Knight,19.6,1.042657314617749,25
Danilo Gallinari,19.5,1.022069061769681,27
Chris Paul,19.5,1.022069061769681,27
Chris Bosh,19.1,0.9397160503774104,29
Dwyane Wade,19.0,0.9191277975293423,30
Reggie Jackson,18.8,0.877951291833207,31
Dirk Nowitzki,18.3,0.7750100275928682,32
Karl-Anthony Towns,18.3,0.7750100275928682,32
Khris Middleton,18.2,0.7544217747448002,34
Nikola Vučević,18.2,0.7544217747448002,34
LaMarcus Aldridge,18.0,0.7132452690486648,36
Kobe Bryant,17.6,0.6308922576563941,37
Jahlil Okafor,17.5,0.6103040048083261,38
Bradley Beal,17.4,0.589715751960258,39
Rudy Gay,17.2,0.5485392462641228,40
Paul Millsap,17.1,0.5279509934160554,41
Ryan Anderson,17.0,0.5073627405679874,42
Giannis Antetokounmpo,16.9,0.4867744877199193,43
Jrue Holiday,16.8,0.466186234871852,44
Marc Gasol,16.6,0.42500972917571667,45
Pau Gasol,16.5,0.40442147632764863,46
Derrick Rose,16.4,0.3838332234795806,47
Derrick Favors,16.4,0.3838332234795806,47
JJ Redick,16.3,0.3632449706315133,49
Andre Drummond,16.2,0.34265671778344525,50
Victor Oladipo,16.0,0.3014802120873099,51
Kevin Love,16.0,0.3014802120873099,51
Jeff Teague,15.7,0.23971545354310655,53
Jordan Clarkson,15.5,0.1985389478469712,54
Evan Fournier,15.4,0.17795069499890354,55
Zach Randolph,15.3,0.15736244215083586,56
Greg Monroe,15.3,0.15736244215083586,56
Lou Williams,15.3,0.15736244215083586,56
Mike Conley,15.3,0.15736244215083586,56
Tyreke Evans,15.2,0.13677418930276783,60
Al Horford,15.2,0.13677418930276783,60
Eric Gordon,15.2,0.13677418930276783,60
Avery Bradley,15.2,0.13677418930276783,60
Thaddeus Young,15.1,0.11618593645470016,64
