PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate,Points_ZScore,Rebounds_ZScore,Assists_ZScore,Steals_ZScore,Blocks_ZScore,FieldGoalPct_ZScore,ThreePointersMade_ZScore,FreeThrowPct_ZScore,Turnovers_ZScore,Swish_Score,Overall_Rank
1641705,Victor Wembanyama,SAS,2024-25,46,33.2,24.3,11.0,3.7,1.1,3.8,3.2,0.476,0.836,0.352,3.1,8.8,8.9,18.6,3.4,4.1,0.594,0.3,1.3837907455290228,2.119699709365223,-0.0793003796638194,0.2139258898866185,6.3247609929641255,0.0648085326054603,1.3291837523636092,0.5472005720182219,1.5459059414103204,14.147637972960064,1
203999,Nikola Jokić,DEN,2024-25,70,36.7,29.6,12.7,10.2,1.8,0.6,3.3,0.576,0.8,0.417,2.0,4.7,11.2,19.5,5.2,6.4,0.663,0.285,2.331475850798542,2.783013274239357,3.168238977997354,2.165189309761532,0.0149033701121141,1.7486556033213885,0.1496266888214194,0.0970523134906785,1.6683257489253178,13.818381950898909,2
1628983,Shai Gilgeous-Alexander,OKC,2024-25,76,34.2,32.7,5.0,6.4,1.7,1.0,2.4,0.519,0.898,0.375,2.1,5.7,11.3,21.8,7.9,8.8,0.637,0.336,2.885782233125997,-0.2214069901905452,1.2696775073646682,1.8864373926365436,0.8036355729686155,0.7888627730133102,0.2568591491434367,1.322455906148993,0.566547481290338,10.771439929707347,3
203076,Anthony Davis,DAL,2024-25,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.775,0.282,0.7,2.4,9.2,17.8,5.6,7.2,0.588,0.301,1.455314149700307,2.3538103793207994,-0.1792246675918556,0.4926778070116057,3.16983218153812,0.7383473608918324,-1.2443952953648048,-0.2155506438201163,0.3217078662603428,8.427196474402399,4
1629029,Luka Dončić,LAL,2024-25,50,35.4,28.2,8.2,7.7,1.8,0.4,3.6,0.45,0.782,0.368,3.5,9.6,9.2,20.5,6.2,7.9,0.587,0.328,2.081143936199046,1.0271832495725308,1.9191853788969029,2.165189309761532,-0.3794627313161365,-0.3729917057806804,1.758113593651678,-0.1280218157730937,2.0355851714703115,7.595648251235799,5
1630169,Tyrese Haliburton,IND,2024-25,73,33.6,18.6,3.5,9.2,1.4,0.7,1.6,0.473,0.851,0.388,3.0,7.7,6.5,13.8,2.6,3.0,0.616,0.21,0.3645822360882196,-0.8066836650794873,2.6686175383571733,1.0501816412615808,0.2120864208262394,0.0142931204839824,1.2219512920415918,0.7347623464046988,-0.4128109788296438,7.427206400493638,6
1630178,Tyrese Maxey,PHI,2024-25,52,37.7,26.3,3.3,6.1,1.8,0.4,2.4,0.437,0.879,0.337,3.1,9.2,9.2,21.0,4.9,5.6,0.562,0.293,1.741407766385445,-0.8847205550646796,1.1197910754726137,2.165189309761532,-0.3794627313161365,-0.5918918249737514,1.3291837523636092,1.084877658592789,0.566547481290338,6.234366534260187,7
201939,Stephen Curry,GSW,2024-25,70,32.2,24.5,4.4,6.0,1.1,0.4,2.9,0.448,0.933,0.397,4.4,11.2,8.1,18.0,4.0,4.3,0.618,0.286,1.419552447614665,-0.4555176601461219,1.0698289315085958,0.2139258898866185,-0.3794627313161365,-0.406668647194999,2.7232057365498337,1.760100046384106,1.1786465188653268,5.903551206080159,8
1626157,Karl-Anthony Towns,NYK,2024-25,72,35.0,24.4,12.8,3.1,1.0,0.7,2.7,0.526,0.829,0.42,2.0,4.7,8.9,16.9,4.7,5.7,0.63,0.265,1.4016715965718436,2.8220317192319535,-0.3790732434479278,-0.0648260272383693,0.2120864208262394,0.9067320679634252,0.1496266888214194,0.4596717439711993,0.9338069038353316,5.8821901097014475,9
1628369,Jayson Tatum,BOS,2024-25,72,36.4,26.8,8.7,6.0,1.1,0.5,2.9,0.452,0.814,0.343,3.5,10.1,9.2,20.3,5.0,6.1,0.582,0.301,1.8308120215995507,1.222275474535511,1.0698289315085958,0.2139258898866185,-0.1822796806020112,-0.3393147643663619,1.758113593651678,0.2721099695847223,1.1786465188653268,5.7848776550285335,10
202681,Kyrie Irving,DAL,2024-25,50,36.1,24.7,4.8,4.6,1.3,0.5,2.2,0.473,0.916,0.401,2.9,7.2,8.9,18.9,3.9,4.3,0.594,0.264,1.455314149700307,-0.2994438801757376,0.3703589160123428,0.7714297241365936,-0.1822796806020112,0.0142931204839824,1.1147188317195744,1.5475300354127657,0.3217078662603428,5.583911155517474,11
