PlayerName,FreeThrowPct,FreeThrowPct_ZScore,FreeThrowPct_Rank
Malcolm Brogdon,0.928,1.7107944812066467,1
Stephen Curry,0.916,1.575542212070241,2
Damian Lillard,0.912,1.5304581223581055,3
Danilo Gallinari,0.904,1.440289942933835,4
Kevin Love,0.904,1.440289942933835,4
Justin Holiday,0.896,1.3501217635095646,6
JJ Redick,0.894,1.3275797186534968,7
Jeremy Lamb,0.888,1.259953584085294,8
Jeff Green,0.888,1.259953584085294,8
Buddy Hield,0.886,1.2374115392292262,10
Kevin Durant,0.885,1.2261405168011925,11
Bryn Forbes,0.885,1.2261405168011925,11
Rodney Hood,0.884,1.2148694943731586,13
James Harden,0.879,1.1585143822329895,14
Lou Williams,0.876,1.124701314948888,15
Terrence Ross,0.875,1.1134302925208543,16
Kyrie Irving,0.873,1.0908882476647865,17
Lauri Markkanen,0.872,1.0796172252367529,18
Al-Farouq Aminu,0.867,1.0232621130965838,19
Tobias Harris,0.866,1.0119910906685499,20
Devin Booker,0.866,1.0119910906685499,20
D.J. Augustin,0.866,1.0119910906685499,20
Nicolas Batum,0.865,1.0007200682405162,23
Reggie Jackson,0.864,0.9894490458124823,24
Chris Paul,0.862,0.9669070009564147,25
Josh Richardson,0.861,0.9556359785283808,26
Avery Bradley,0.86,0.944364956100347,27
Reggie Bullock Jr.,0.859,0.9330939336723132,28
Derrick Rose,0.856,0.8992808663882117,29
Jayson Tatum,0.855,0.8880098439601779,30
Ricky Rubio,0.855,0.8880098439601779,30
Jimmy Butler III,0.855,0.8880098439601779,30
Kawhi Leonard,0.854,0.8767388215321441,33
Jamal Murray,0.848,0.8091126869639411,34
LaMarcus Aldridge,0.847,0.7978416645359073,35
Nikola Mirotic,0.847,0.7978416645359073,35
Mike Conley,0.845,0.7752996196798397,37
Marcus Morris Sr.,0.844,0.7640285972518058,38
Kemba Walker,0.844,0.7640285972518058,38
Jordan Clarkson,0.844,0.7640285972518058,38
Fred VanVleet,0.843,0.752757574823772,41
Brook Lopez,0.842,0.7414865523957382,42
Danny Green,0.841,0.7302155299677044,43
Tim Hardaway Jr.,0.841,0.7302155299677044,43
Paul George,0.839,0.7076734851116367,45
Collin Sexton,0.839,0.7076734851116367,45
Khris Middleton,0.837,0.6851314402555692,47
Karl-Anthony Towns,0.836,0.6738604178275354,48
Gordon Hayward,0.834,0.6513183729714677,49
Zach LaVine,0.832,0.6287763281154001,50
Darren Collison,0.832,0.6287763281154001,50
DeMar DeRozan,0.83,0.6062342832593324,52
Kyle Lowry,0.83,0.6062342832593324,52
Trae Young,0.829,0.5949632608312986,54
CJ McCollum,0.828,0.5836922384032648,55
Joe Harris,0.827,0.572421215975231,56
Bogdan Bogdanović,0.827,0.572421215975231,56
Harrison Barnes,0.824,0.5386081486911295,58
Nikola Jokić,0.821,0.504795081407028,59
Al Horford,0.821,0.504795081407028,59
Dennis Schröder,0.819,0.4822530365509604,61
Taurean Prince,0.819,0.4822530365509604,61
Tomas Satoransky,0.819,0.4822530365509604,61
Klay Thompson,0.816,0.4484399692668589,64
Rudy Gay,0.816,0.4484399692668589,64
T.J. Warren,0.815,0.4371689468388251,66
Jonathan Isaac,0.815,0.4371689468388251,66
Dewayne Dedmon,0.814,0.42589792441079133,68
Otto Porter Jr.,0.813,0.4146269019827575,69
Wesley Matthews,0.81,0.38081383469865726,70
Bradley Beal,0.808,0.3582717898425896,71
Bojan Bogdanović,0.807,0.3470007674145558,72
Donovan Mitchell,0.806,0.33572974498652197,73
Marcus Smart,0.806,0.33572974498652197,73
Spencer Dinwiddie,0.806,0.33572974498652197,73
Evan Fournier,0.806,0.33572974498652197,73
Mikal Bridges,0.805,0.3244587225584882,77
Joel Embiid,0.804,0.3131877001304544,78
Jeff Teague,0.804,0.3131877001304544,78
Shai Gilgeous-Alexander,0.8,0.2681036104183191,80
Gary Harris,0.799,0.25683258799028524,81
Kris Dunn,0.797,0.23429054313421763,82
Wendell Carter Jr.,0.795,0.21174849827814998,83
Anthony Davis,0.794,0.20047747585011616,84
Bobby Portis,0.794,0.20047747585011616,84
Trevor Ariza,0.793,0.18920645342208234,86
Nikola Vučević,0.789,0.14412236370994708,87
Darius Miller,0.789,0.14412236370994708,87
Danuel House Jr.,0.789,0.14412236370994708,87
Cody Zeller,0.787,0.12158031885387943,90
Pascal Siakam,0.785,0.09903827399781179,91
Eric Gordon,0.783,0.07649622914174416,92
Goran Dragic,0.782,0.06522520671371033,93
D'Angelo Russell,0.78,0.0426831618576427,94
Patrick Beverley,0.78,0.0426831618576427,94
Cedi Osman,0.779,0.031412139429608875,96
Kelly Oubre Jr.,0.775,-0.0136719502825264,97
Emmanuel Mudiay,0.774,-0.02494297271056022,98
Jusuf Nurkić,0.773,-0.03621399513859404,99
Derrick White,0.772,-0.04748501756662786,100
Will Barton,0.77,-0.07002706242269549,101
Jrue Holiday,0.768,-0.09256910727876314,102
Marvin Williams,0.767,-0.10384012970679696,103
Jaren Jackson Jr.,0.766,-0.11511115213483078,104
Robert Covington,0.764,-0.13765319699089842,105
Serge Ibaka,0.763,-0.14892421941893225,106
E'Twaun Moore,0.763,-0.14892421941893225,106
John Collins,0.763,-0.14892421941893225,106
DeMarre Carroll,0.76,-0.18273728670303369,109
Marc Gasol,0.759,-0.1940083091310675,110
Blake Griffin,0.753,-0.2616344436992704,111
Kyle Kuzma,0.752,-0.27290546612730426,112
Eric Bledsoe,0.75,-0.2954475109833719,113
Tyler Johnson,0.748,-0.3179895558394395,114
Garrett Temple,0.748,-0.3179895558394395,114
Deandre Ayton,0.746,-0.34053160069550714,116
Damyean Dotson,0.745,-0.351802623123541,117
Elfrid Payton,0.743,-0.37434466797960864,118
DeMarcus Cousins,0.736,-0.45324182497584536,119
Myles Turner,0.736,-0.45324182497584536,119
Allen Crabbe,0.732,-0.49832591468798065,121
Kevin Huerter,0.732,-0.49832591468798065,121
Aaron Gordon,0.731,-0.5095969371160145,123
Julius Randle,0.731,-0.5095969371160145,123
Victor Oladipo,0.73,-0.5208679595440483,125
Giannis Antetokounmpo,0.729,-0.5321389819720821,126
De'Aaron Fox,0.727,-0.5546810268281497,127
Paul Millsap,0.727,-0.5546810268281497,127
Terrance Ferguson,0.725,-0.5772230716842174,129
Jae Crowder,0.721,-0.6223071613963527,130
Kevin Knox II,0.717,-0.667391251108488,131
Larry Nance Jr.,0.716,-0.6786622735365218,132
Luka Dončić,0.713,-0.7124753408206232,133
Jabari Parker,0.712,-0.723746363248657,134
Noah Vonleh,0.712,-0.723746363248657,134
Jerami Grant,0.71,-0.7462884081047246,136
Jarrett Allen,0.709,-0.7575594305327584,137
Dwyane Wade,0.708,-0.7688304529607923,138
Joe Ingles,0.707,-0.7801014753888261,139
DeAndre Jordan,0.705,-0.8026435202448937,140
Andrew Wiggins,0.699,-0.8702696548130967,141
Cory Joseph,0.698,-0.8815406772411305,142
John Wall,0.697,-0.8928116996691643,143
P.J. Tucker,0.695,-0.915353744525232,144
Draymond Green,0.692,-0.9491668118093334,145
Marvin Bagley III,0.691,-0.9604378342373672,146
Caris LeVert,0.691,-0.9604378342373672,146
Josh Hart,0.688,-0.9942509015214687,148
Brandon Ingram,0.675,-1.140774193085907,149
Josh Jackson,0.671,-1.1858582827980424,150
LeBron James,0.665,-1.2534844173662454,151
Jaylen Brown,0.658,-1.332381574362482,152
Russell Westbrook,0.656,-1.3549236192185496,153
Thaddeus Young,0.644,-1.4901758883549554,154
Montrezl Harrell,0.643,-1.5014469107829893,155
Tristan Thompson,0.642,-1.5127179332110232,156
Rajon Rondo,0.639,-1.5465310004951245,157
Rudy Gobert,0.636,-1.580344067779226,158
Clint Capela,0.636,-1.580344067779226,158
Dennis Smith Jr.,0.635,-1.5916150902072599,160
Justise Winslow,0.628,-1.6705122472034966,161
Ben Simmons,0.6,-1.9861008751884435,162
Andre Drummond,0.59,-2.0988110994687816,163
Kyle Anderson,0.578,-2.2340633686051876,164
Willie Cauley-Stein,0.551,-2.5383809741620995,165
Austin Rivers,0.526,-2.820156534862945,166
Steven Adams,0.5,-3.1132031179918243,167
Dion Waiters,0.5,-3.1132031179918243,167
Lonzo Ball,0.417,-4.04869797951863,169
