PlayerName,Steals,Steals_ZScore,Steals_Rank
Paul George,2.2,3.1096222542180607,1
Robert Covington,2.1,2.8521376089643358,2
Chris Paul,2.0,2.594652963710611,3
James Harden,2.0,2.594652963710611,3
Russell Westbrook,1.9,2.3371683184568863,5
Jimmy Butler III,1.9,2.3371683184568863,5
Kawhi Leonard,1.8,2.079683673203162,7
Marcus Smart,1.8,2.079683673203162,7
Victor Oladipo,1.7,1.8221990279494367,9
Andre Drummond,1.7,1.8221990279494367,9
De'Aaron Fox,1.6,1.5647143826957124,11
Anthony Davis,1.6,1.5647143826957124,11
Jrue Holiday,1.6,1.5647143826957124,11
P.J. Tucker,1.6,1.5647143826957124,11
Mikal Bridges,1.6,1.5647143826957124,11
Otto Porter Jr.,1.5,1.3072297374419874,16
John Wall,1.5,1.3072297374419874,16
Larry Nance Jr.,1.5,1.3072297374419874,16
Justin Holiday,1.5,1.3072297374419874,16
Kyrie Irving,1.5,1.3072297374419874,16
Eric Bledsoe,1.5,1.3072297374419874,16
Lonzo Ball,1.5,1.3072297374419874,16
Kris Dunn,1.5,1.3072297374419874,16
Steven Adams,1.5,1.3072297374419874,16
Thaddeus Young,1.5,1.3072297374419874,16
Bradley Beal,1.5,1.3072297374419874,16
Nikola Jokić,1.4,1.0497450921882625,27
Ben Simmons,1.4,1.0497450921882625,27
Kyle Lowry,1.4,1.0497450921882625,27
Draymond Green,1.4,1.0497450921882625,27
Donovan Mitchell,1.4,1.0497450921882625,27
Darren Collison,1.4,1.0497450921882625,27
Stephen Curry,1.3,0.792260446934538,33
Mike Conley,1.3,0.792260446934538,33
Giannis Antetokounmpo,1.3,0.792260446934538,33
LeBron James,1.3,0.792260446934538,33
Dennis Smith Jr.,1.3,0.792260446934538,33
DeMarcus Cousins,1.3,0.792260446934538,33
Trevor Ariza,1.3,0.792260446934538,33
Ricky Rubio,1.3,0.792260446934538,33
Kyle Anderson,1.3,0.792260446934538,33
Rajon Rondo,1.2,0.5347758016808131,42
Paul Millsap,1.2,0.5347758016808131,42
Shai Gilgeous-Alexander,1.2,0.5347758016808131,42
Kelly Oubre Jr.,1.2,0.5347758016808131,42
T.J. Warren,1.2,0.5347758016808131,42
Kemba Walker,1.2,0.5347758016808131,42
Joe Ingles,1.2,0.5347758016808131,42
D'Angelo Russell,1.2,0.5347758016808131,42
Willie Cauley-Stein,1.2,0.5347758016808131,42
Caris LeVert,1.1,0.2772911564270886,51
Marc Gasol,1.1,0.2772911564270886,51
Cory Joseph,1.1,0.2772911564270886,51
Jeremy Lamb,1.1,0.2772911564270886,51
Luka Dončić,1.1,0.2772911564270886,51
Damian Lillard,1.1,0.2772911564270886,51
DeMar DeRozan,1.1,0.2772911564270886,51
Klay Thompson,1.1,0.2772911564270886,51
Dewayne Dedmon,1.1,0.2772911564270886,51
Josh Richardson,1.1,0.2772911564270886,51
Justise Winslow,1.1,0.2772911564270886,51
Jayson Tatum,1.1,0.2772911564270886,51
Josh Hart,1.0,0.019806511173363656,63
Tomas Satoransky,1.0,0.019806511173363656,63
Andrew Wiggins,1.0,0.019806511173363656,63
Jeff Teague,1.0,0.019806511173363656,63
Bogdan Bogdanović,1.0,0.019806511173363656,63
