PlayerName,Points,Points_ZScore,Points_Rank
James Harden,36.1,3.8339813400190623,1
Paul George,28.0,2.3347563117812546,2
Giannis Antetokounmpo,27.7,2.2792294588835578,3
Joel Embiid,27.5,2.2422115569517604,4
LeBron James,27.4,2.223702605985861,5
Stephen Curry,27.3,2.2051936550199627,6
Kawhi Leonard,26.6,2.0756309982586707,7
Devin Booker,26.6,2.0756309982586707,7
Kevin Durant,26.0,1.9645772924632772,9
Anthony Davis,25.9,1.946068341497378,10
Damian Lillard,25.8,1.9275593905314796,11
Bradley Beal,25.6,1.890541488599682,12
Kemba Walker,25.6,1.890541488599682,12
Blake Griffin,24.5,1.6869430279747943,14
Karl-Anthony Towns,24.4,1.6684340770088952,15
Donovan Mitchell,23.8,1.5573803712135024,16
Kyrie Irving,23.8,1.5573803712135024,16
Zach LaVine,23.7,1.5388714202476033,18
Russell Westbrook,22.9,1.3907998125204122,19
Klay Thompson,21.5,1.1316744989978285,20
Julius Randle,21.4,1.1131655480319294,21
LaMarcus Aldridge,21.3,1.0946565970660307,22
DeMar DeRozan,21.2,1.0761476461001316,23
Luka Dončić,21.2,1.0761476461001316,23
Jrue Holiday,21.2,1.0761476461001316,23
D'Angelo Russell,21.1,1.0576386951342331,26
Mike Conley,21.1,1.0576386951342331,26
CJ McCollum,21.0,1.039129744168334,28
Nikola Vučević,20.8,1.0021118422365365,29
John Wall,20.7,0.9836028912706374,30
Buddy Hield,20.7,0.9836028912706374,30
Nikola Jokić,20.1,0.8725491854752445,32
Lou Williams,20.0,0.8540402345093454,33
Tobias Harris,20.0,0.8540402345093454,33
Danilo Gallinari,19.8,0.8170223325775479,35
John Collins,19.5,0.7614954796798511,36
Trae Young,19.1,0.6874596758162559,37
Victor Oladipo,18.8,0.6319328229185591,38
Kyle Kuzma,18.7,0.61342387195266,39
Jimmy Butler III,18.7,0.61342387195266,39
Lauri Markkanen,18.7,0.61342387195266,39
Brandon Ingram,18.3,0.5393880680890648,42
Khris Middleton,18.3,0.5393880680890648,42
Jamal Murray,18.2,0.5208791171231657,44
Tim Hardaway Jr.,18.1,0.5023701661572673,45
JJ Redick,18.1,0.5023701661572673,45
Andrew Wiggins,18.1,0.5023701661572673,45
Bojan Bogdanović,18.0,0.4838612151913681,48
Derrick Rose,18.0,0.4838612151913681,48
T.J. Warren,18.0,0.4838612151913681,48
Andre Drummond,17.3,0.3542985584300762,51
De'Aaron Fox,17.3,0.3542985584300762,51
Kevin Love,17.0,0.2987717055323795,53
Ben Simmons,16.9,0.28026275456648037,54
Pascal Siakam,16.9,0.28026275456648037,54
Jordan Clarkson,16.8,0.26175380360058187,56
Spencer Dinwiddie,16.8,0.26175380360058187,56
Collin Sexton,16.7,0.24324485263468276,58
Josh Richardson,16.6,0.2247359016687843,59
Montrezl Harrell,16.6,0.2247359016687843,59
Clint Capela,16.6,0.2247359016687843,59
Harrison Barnes,16.4,0.18771799973698602,62
DeMarcus Cousins,16.3,0.16920904877108756,63
Deandre Ayton,16.3,0.16920904877108756,63
Eric Gordon,16.2,0.15070009780518842,65
Aaron Gordon,16.0,0.11368219587339083,66
Eric Bledsoe,15.9,0.09517324490749204,67
Rudy Gobert,15.9,0.09517324490749204,67
Jayson Tatum,15.7,0.058155342975694115,69
Chris Paul,15.6,0.03964639200979531,70
Jusuf Nurkić,15.6,0.03964639200979531,70
Malcolm Brogdon,15.6,0.03964639200979531,70
Dennis Schröder,15.5,0.021137441043896515,73
Reggie Jackson,15.4,0.0026284900779977153,74
Jeremy Lamb,15.3,-0.01588046088790108,75
Nikola Mirotic,15.2,-0.03438941185380021,76
Kelly Oubre Jr.,15.2,-0.03438941185380021,76
Terrence Ross,15.1,-0.05289836281969901,78
Evan Fournier,15.1,-0.05289836281969901,78
Dwyane Wade,15.0,-0.07140731378559781,80
Serge Ibaka,15.0,-0.07140731378559781,80
Marvin Bagley III,14.9,-0.08991626475149661,82
Emmanuel Mudiay,14.8,-0.1084252157173954,83
Jabari Parker,14.5,-0.16395206861509212,84
Bobby Portis,14.2,-0.21947892151278886,85
Kyle Lowry,14.2,-0.21947892151278886,85
Bogdan Bogdanović,14.1,-0.23798787247868766,87
Otto Porter Jr.,13.9,-0.27500577441048524,88
Marcus Morris Sr.,13.9,-0.27500577441048524,88
Steven Adams,13.9,-0.27500577441048524,88
Jaren Jackson Jr.,13.8,-0.29351472537638407,91
Joe Harris,13.7,-0.3120236763422832,92
Rudy Gay,13.7,-0.3120236763422832,92
