PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate
203932,Aaron Gordon,DEN,2024-25,51,28.4,14.7,4.8,3.2,0.5,0.3,1.4,0.531,0.81,0.436,1.5,3.4,5.2,9.7,2.8,3.5,0.65,0.186
201143,Al Horford,BOS,2024-25,60,27.6,9.0,6.2,2.1,0.6,0.9,0.8,0.423,0.895,0.363,1.9,5.2,3.3,7.7,0.6,0.6,0.563,0.136
1642259,Alex Sarr,WAS,2024-25,67,27.1,13.0,6.5,2.4,0.7,1.5,1.7,0.394,0.679,0.308,1.6,5.1,4.9,12.4,1.7,2.5,0.482,0.23
1630578,Alperen Sengun,HOU,2024-25,76,31.5,19.1,10.3,4.9,1.1,0.8,2.6,0.496,0.692,0.233,0.3,1.2,7.5,15.0,3.9,5.6,0.545,0.259
1641708,Amen Thompson,HOU,2024-25,69,32.3,14.1,8.2,3.8,1.4,1.3,2.0,0.557,0.684,0.275,0.4,1.3,5.6,10.1,2.4,3.6,0.602,0.172
1629614,Andrew Nembhard,IND,2024-25,65,28.9,10.0,3.3,5.0,1.2,0.2,1.7,0.458,0.794,0.291,0.8,2.7,3.8,8.3,1.7,2.1,0.545,0.163
203952,Andrew Wiggins,MIA,2024-25,60,30.7,18.0,4.5,2.6,1.0,0.8,1.7,0.448,0.763,0.374,2.2,5.8,6.3,14.0,3.3,4.3,0.566,0.238
1629014,Anfernee Simons,POR,2024-25,70,32.7,19.3,2.7,4.8,0.9,0.1,2.0,0.426,0.902,0.363,3.1,8.5,6.8,16.1,2.5,2.8,0.557,0.241
203076,Anthony Davis,DAL,2024-25,51,33.4,24.7,11.6,3.5,1.2,2.2,2.2,0.516,0.775,0.282,0.7,2.4,9.2,17.8,5.6,7.2,0.588,0.301
1630162,Anthony Edwards,MIN,2024-25,79,36.3,27.6,5.7,4.5,1.2,0.6,3.2,0.447,0.837,0.395,4.1,10.3,9.1,20.4,5.3,6.3,0.595,0.307
1630559,Austin Reaves,LAL,2024-25,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.877,0.377,2.7,7.3,6.5,14.2,4.4,5.0,0.616,0.23
1630245,Ayo Dosunmu,CHI,2024-25,46,30.3,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.785,0.328,1.3,4.1,4.8,9.8,1.3,1.7,0.585,0.163
1628389,Bam Adebayo,MIA,2024-25,78,34.3,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.765,0.357,1.0,2.8,6.9,14.3,3.2,4.2,0.561,0.232
1631097,Bennedict Mathurin,IND,2024-25,72,29.9,16.1,5.3,1.9,0.7,0.3,1.9,0.458,0.831,0.34,1.4,4.0,5.4,11.8,3.8,4.6,0.579,0.222
1641731,Bilal Coulibaly,WAS,2024-25,59,33.0,12.3,5.0,3.4,1.3,0.7,2.1,0.421,0.746,0.281,1.1,3.8,4.5,10.6,2.3,3.1,0.515,0.175
1626171,Bobby Portis,MIL,2024-25,49,25.4,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.836,0.365,1.3,3.6,5.7,12.1,1.2,1.5,0.542,0.234
203078,Bradley Beal,PHX,2024-25,53,32.1,17.0,3.3,3.7,1.1,0.5,1.9,0.497,0.803,0.386,1.9,5.0,6.5,13.1,2.1,2.6,0.598,0.219
1641764,Brandin Podziemski,GSW,2024-25,64,26.8,11.7,5.1,3.4,1.1,0.2,1.2,0.445,0.758,0.372,1.8,4.8,4.4,9.8,1.1,1.5,0.557,0.177
1641706,Brandon Miller,CHA,2024-25,27,34.2,21.0,4.9,3.6,1.1,0.7,2.8,0.403,0.861,0.355,3.9,10.9,7.3,18.2,2.5,2.9,0.54,0.27
201572,Brook Lopez,MIL,2024-25,80,31.8,13.0,5.0,1.8,0.6,1.9,1.1,0.509,0.826,0.373,1.7,4.7,4.9,9.7,1.4,1.7,0.624,0.157
1642267,Bub Carrington,WAS,2024-25,82,30.0,9.8,4.2,4.4,0.7,0.3,1.7,0.401,0.812,0.339,1.7,5.0,3.7,9.1,0.8,1.0,0.514,0.154
203468,CJ McCollum,NOP,2024-25,56,32.7,21.1,3.8,4.1,0.8,0.4,1.9,0.444,0.717,0.373,3.1,8.2,7.9,17.9,2.2,3.1,0.55,0.266
1630595,Cade Cunningham,DET,2024-25,70,35.0,26.1,6.1,9.1,1.0,0.8,4.4,0.469,0.846,0.356,2.1,6.0,9.8,20.8,4.5,5.3,0.565,0.323
1628997,Caleb Martin,DAL,2024-25,45,27.1,7.9,3.9,2.1,1.0,0.5,1.2,0.424,0.622,0.359,0.8,2.3,2.9,6.8,1.4,2.2,0.513,0.143
