PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate
201144,Mike Conley,MEM,2016-17,69,33.2,20.5,3.5,6.3,1.3,0.3,2.3,0.46,0.859,0.408,2.5,6.1,6.7,14.6,4.6,5.3,0.604,0.256
101145,Monta Ellis,IND,2016-17,74,27.0,8.5,2.8,3.2,1.1,0.4,1.8,0.443,0.727,0.319,0.6,1.8,3.3,7.5,1.3,1.7,0.514,0.166
1626167,Myles Turner,IND,2016-17,81,31.4,14.5,7.3,1.3,0.9,2.1,1.3,0.511,0.809,0.348,0.5,1.4,5.5,10.7,3.0,3.7,0.585,0.195
201156,Nick Young,LAL,2016-17,60,25.9,13.2,2.3,1.0,0.6,0.2,0.6,0.43,0.856,0.404,2.8,7.0,4.5,10.6,1.3,1.5,0.588,0.192
201587,Nicolas Batum,CHA,2016-17,77,34.0,15.1,6.2,5.9,1.1,0.4,2.5,0.403,0.856,0.333,1.8,5.3,5.1,12.7,3.2,3.7,0.529,0.215
203917,Nik Stauskas,PHI,2016-17,80,27.3,9.5,2.8,2.4,0.6,0.4,1.6,0.396,0.813,0.368,1.7,4.5,3.1,7.9,1.5,1.9,0.54,0.161
203999,Nikola Jokić,DEN,2016-17,73,27.9,16.7,9.8,4.9,0.8,0.8,2.3,0.578,0.825,0.324,0.6,1.9,6.8,11.7,2.6,3.1,0.64,0.231
202696,Nikola Vučević,ORL,2016-17,75,28.8,14.6,10.4,2.8,1.0,1.0,1.6,0.468,0.669,0.307,0.3,1.0,6.4,13.7,1.4,2.1,0.498,0.241
203490,Otto Porter Jr.,WAS,2016-17,80,32.6,13.4,6.4,1.5,1.5,0.5,0.6,0.516,0.832,0.434,1.9,4.3,5.2,10.0,1.2,1.5,0.628,0.147
200782,P.J. Tucker,TOR,2016-17,81,27.6,6.7,5.8,1.2,1.4,0.2,0.8,0.413,0.774,0.357,0.9,2.4,2.5,6.0,0.9,1.1,0.516,0.111
201976,Patrick Beverley,HOU,2016-17,67,30.7,9.5,5.9,4.2,1.5,0.4,1.5,0.42,0.768,0.382,1.6,4.3,3.4,8.1,1.1,1.4,0.546,0.14
2200,Pau Gasol,SAS,2016-17,64,25.4,12.4,7.8,2.3,0.4,1.1,1.3,0.502,0.707,0.538,0.9,1.6,4.7,9.4,2.0,2.9,0.578,0.213
