PlayerName,Rebounds,Rebounds_ZScore,Rebounds_Rank
Justin Holiday,3.6,-0.7398416587754014,128
Mike Conley,3.5,-0.7801415979971094,133
Marcus Smart,3.5,-0.7801415979971094,133
Dennis Schröder,3.5,-0.7801415979971094,133
De'Aaron Fox,3.5,-0.7801415979971094,133
Duncan Robinson,3.5,-0.7801415979971094,133
Cedi Osman,3.4,-0.8204415372188174,138
Terrence Ross,3.4,-0.8204415372188174,138
Armoni Brooks,3.4,-0.8204415372188174,138
Reggie Bullock Jr.,3.4,-0.8204415372188174,138
Eric Bledsoe,3.4,-0.8204415372188174,138
Goran Dragic,3.4,-0.8204415372188174,138
Kevin Huerter,3.3,-0.8607414764405253,144
Ricky Rubio,3.3,-0.8607414764405253,144
Josh Richardson,3.3,-0.8607414764405253,144
Tim Hardaway Jr.,3.3,-0.8607414764405253,144
Theo Maledon,3.2,-0.9010414156622332,148
Grayson Allen,3.2,-0.9010414156622332,148
Kendrick Nunn,3.2,-0.9010414156622332,148
John Wall,3.2,-0.9010414156622332,148
Collin Sexton,3.1,-0.9413413548839411,152
Isaac Okoro,3.1,-0.9413413548839411,152
Norman Powell,3.1,-0.9413413548839411,152
Dwayne Bacon,3.1,-0.9413413548839411,152
Tyrese Haliburton,3.0,-0.981641294105649,156
Derrick White,3.0,-0.981641294105649,156
Evan Fournier,3.0,-0.981641294105649,156
Dāvis Bertāns,2.9,-1.021941233327357,159
Dillon Brooks,2.9,-1.021941233327357,159
Garrett Temple,2.9,-1.021941233327357,159
Killian Hayes,2.7,-1.1025411117707729,162
Kentavious Caldwell-Pope,2.7,-1.1025411117707729,162
Devonte' Graham,2.7,-1.1025411117707729,162
Derrick Rose,2.6,-1.142841050992481,165
D'Angelo Russell,2.6,-1.142841050992481,165
Gary Trent Jr.,2.6,-1.142841050992481,165
Lonnie Walker IV,2.6,-1.142841050992481,165
Darius Garland,2.4,-1.2234409294358968,169
Seth Curry,2.4,-1.2234409294358968,169
Eric Gordon,2.1,-1.3443407471010205,171
Monté Morris,2.0,-1.3846406863227285,172
Gary Harris,2.0,-1.3846406863227285,172
