PlayerName,Assists,Assists_ZScore,Assists_Rank
Russell Westbrook,11.7,3.6868178723933704,1
James Harden,10.8,3.2743456853331945,2
Trae Young,9.4,2.6327222832395862,3
Chris Paul,8.9,2.403571068206155,4
Draymond Green,8.9,2.403571068206155,4
Luka Dončić,8.6,2.2660803391860957,6
Nikola Jokić,8.3,2.1285896101660375,7
LeBron James,7.8,1.8994383951326053,8
Damian Lillard,7.5,1.7619476661125466,9
Ja Morant,7.4,1.7161174231058605,10
Kyle Lowry,7.3,1.6702871800991739,11
De'Aaron Fox,7.2,1.6244569370924877,12
Jimmy Butler III,7.1,1.5786266940858014,13
Ben Simmons,6.9,1.486966208072429,14
John Wall,6.9,1.486966208072429,14
DeMar DeRozan,6.9,1.486966208072429,14
Domantas Sabonis,6.7,1.3953057220590563,17
T.J. McConnell,6.6,1.3494754790523698,18
Ricky Rubio,6.4,1.2578149930389977,19
Kevin Porter Jr.,6.3,1.211984750032311,20
Fred VanVleet,6.3,1.211984750032311,20
Darius Garland,6.1,1.1203242640189384,22
Jrue Holiday,6.1,1.1203242640189384,22
LaMelo Ball,6.1,1.1203242640189384,22
Mike Conley,6.0,1.0744940210122522,25
Kyrie Irving,6.0,1.0744940210122522,25
Julius Randle,6.0,1.0744940210122522,25
Shai Gilgeous-Alexander,5.9,1.028663778005566,28
Malcolm Brogdon,5.9,1.028663778005566,28
Giannis Antetokounmpo,5.9,1.028663778005566,28
D'Angelo Russell,5.8,0.9828335349988796,31
Dennis Schröder,5.8,0.9828335349988796,31
Stephen Curry,5.8,0.9828335349988796,31
Lonzo Ball,5.7,0.9370032919921935,34
Marcus Smart,5.7,0.9370032919921935,34
Kevin Durant,5.6,0.891173048985507,36
Devonte' Graham,5.4,0.7995125629721347,37
Dejounte Murray,5.4,0.7995125629721347,37
Khris Middleton,5.4,0.7995125629721347,37
Bam Adebayo,5.4,0.7995125629721347,37
Killian Hayes,5.3,0.7536823199654482,41
Tyrese Haliburton,5.3,0.7536823199654482,41
Kawhi Leonard,5.2,0.7078520769587621,43
Caris LeVert,5.2,0.7078520769587621,43
Paul George,5.2,0.7078520769587621,43
Donovan Mitchell,5.2,0.7078520769587621,43
Brandon Ingram,4.9,0.5703613479387033,47
Kemba Walker,4.9,0.5703613479387033,47
Zach LaVine,4.9,0.5703613479387033,47
Jamal Murray,4.8,0.5245311049320167,50
Coby White,4.8,0.5245311049320167,50
CJ McCollum,4.7,0.4787008619253306,52
Joe Ingles,4.7,0.4787008619253306,52
Victor Oladipo,4.6,0.4328706189186441,54
Pascal Siakam,4.5,0.387040375911958,55
Karl-Anthony Towns,4.5,0.387040375911958,55
Goran Dragic,4.4,0.34121013290527186,57
Delon Wright,4.4,0.34121013290527186,57
Bradley Beal,4.4,0.34121013290527186,57
Collin Sexton,4.4,0.34121013290527186,57
Jayson Tatum,4.3,0.2953798898985853,61
Devin Booker,4.3,0.2953798898985853,61
Terry Rozier,4.2,0.2495496468918992,63
Derrick Rose,4.2,0.2495496468918992,63
Michael Carter-Williams,4.2,0.2495496468918992,63
Gordon Hayward,4.1,0.20371940388521267,66
Cole Anthony,4.1,0.20371940388521267,66
Eric Bledsoe,3.8,0.0662286748651539,68
Nikola Vučević,3.8,0.0662286748651539,68
Zion Williamson,3.7,0.020398431858467767,70
Kyle Anderson,3.6,-0.02543181114821856,71
Mason Plumlee,3.6,-0.02543181114821856,71
Buddy Hield,3.6,-0.02543181114821856,71
Kevin Huerter,3.5,-0.07126205415490489,74
Theo Maledon,3.5,-0.07126205415490489,74
Tobias Harris,3.5,-0.07126205415490489,74
Harrison Barnes,3.5,-0.07126205415490489,74
Derrick White,3.5,-0.07126205415490489,74
Evan Fournier,3.4,-0.11709229716159121,79
Jaylen Brown,3.4,-0.11709229716159121,79
Tyler Herro,3.4,-0.11709229716159121,79
Al Horford,3.4,-0.11709229716159121,79
Bogdan Bogdanović,3.3,-0.16292254016827754,83
Monté Morris,3.2,-0.20875278317496368,84
Will Barton,3.2,-0.20875278317496368,84
Aaron Gordon,3.2,-0.20875278317496368,84
Larry Nance Jr.,3.1,-0.25458302618165,87
Anthony Davis,3.1,-0.25458302618165,87
Donte DiVincenzo,3.1,-0.25458302618165,87
Blake Griffin,3.0,-0.30041326918833633,90
RJ Barrett,3.0,-0.30041326918833633,90
Cedi Osman,2.9,-0.34624351219502264,92
Anthony Edwards,2.9,-0.34624351219502264,92
Kelly Olynyk,2.9,-0.34624351219502264,92
Joel Embiid,2.8,-0.39207375520170895,95
Jerami Grant,2.8,-0.39207375520170895,95
Seth Curry,2.7,-0.4379039982083951,97
Eric Gordon,2.6,-0.4837342412150814,98
Josh Richardson,2.6,-0.4837342412150814,98
