PlayerName,Points,Points_ZScore,Points_Rank
Stephen Curry,32.0,2.72553132461553,1
Bradley Beal,31.3,2.606060573751904,2
Damian Lillard,28.8,2.179379320667524,3
Joel Embiid,28.5,2.128177570297398,4
Giannis Antetokounmpo,28.1,2.0599085698038975,5
Luka Dončić,27.7,1.9916395693103963,6
Zach LaVine,27.4,1.9404378189402707,7
Zion Williamson,27.0,1.87216881844677,8
Kevin Durant,26.9,1.8551015683233947,9
Kyrie Irving,26.9,1.8551015683233947,9
Donovan Mitchell,26.4,1.7697653177065187,11
Nikola Jokić,26.4,1.7697653177065187,11
Jayson Tatum,26.4,1.7697653177065187,11
Devin Booker,25.6,1.6332273167195175,14
Trae Young,25.3,1.5820255663493918,15
De'Aaron Fox,25.2,1.5649583162260163,16
LeBron James,25.0,1.530823815979266,17
Kawhi Leonard,24.8,1.4966893157325158,18
Karl-Anthony Towns,24.8,1.4966893157325158,18
Jaylen Brown,24.7,1.4796220656091403,20
James Harden,24.6,1.4625548154857655,21
Collin Sexton,24.3,1.4113530651156396,22
Julius Randle,24.1,1.3772185648688895,23
Brandon Ingram,23.8,1.3260168144987636,24
Shai Gilgeous-Alexander,23.7,1.3089495643753883,25
Nikola Vučević,23.4,1.2577478140052625,26
Paul George,23.3,1.2406805638818876,27
CJ McCollum,23.1,1.2065460636351375,28
Jerami Grant,22.3,1.0700080626481356,29
Russell Westbrook,22.2,1.0529408125247601,30
Anthony Davis,21.8,0.9846718120312596,31
DeMar DeRozan,21.6,0.9505373117845094,32
Jimmy Butler III,21.5,0.9334700616611339,33
Pascal Siakam,21.4,0.9164028115377585,34
Malcolm Brogdon,21.2,0.8822683112910082,35
Jamal Murray,21.2,0.8822683112910082,35
Christian Wood,21.0,0.8481338110442579,37
John Wall,20.6,0.7798648105507574,38
Terry Rozier,20.4,0.7457303103040065,39
Khris Middleton,20.4,0.7457303103040065,39
Domantas Sabonis,20.3,0.7286630601806316,41
Caris LeVert,20.2,0.7115958100572561,42
Kristaps Porziņģis,20.1,0.6945285599338813,43
Victor Oladipo,19.8,0.6433268095637557,44
Fred VanVleet,19.6,0.6091923093170053,45
Gordon Hayward,19.6,0.6091923093170053,45
Malik Beasley,19.6,0.6091923093170053,45
Tobias Harris,19.5,0.5921250591936299,48
Kemba Walker,19.3,0.5579905589468795,49
Anthony Edwards,19.3,0.5579905589468795,49
Ja Morant,19.1,0.5238560587001293,51
D'Angelo Russell,19.0,0.5067888085767539,52
Michael Porter Jr.,19.0,0.5067888085767539,52
Bam Adebayo,18.7,0.45558705820662815,54
Norman Powell,18.6,0.4385198080832533,55
Andrew Wiggins,18.6,0.4385198080832533,55
Jordan Clarkson,18.4,0.4043853078365024,57
Eric Gordon,17.8,0.30198180709625155,58
Jrue Holiday,17.7,0.2849145569728761,59
RJ Barrett,17.6,0.26784730684950125,60
John Collins,17.6,0.26784730684950125,60
Darius Garland,17.4,0.23371280660275037,62
Kyle Lowry,17.2,0.1995783063560001,63
Dillon Brooks,17.2,0.1995783063560001,63
Jonas Valančiūnas,17.1,0.18251105623262526,65
Evan Fournier,17.1,0.18251105623262526,65
Bojan Bogdanović,17.0,0.1654438061092498,67
Tim Hardaway Jr.,16.6,0.09717480561574925,68
Kevin Porter Jr.,16.6,0.09717480561574925,68
Buddy Hield,16.6,0.09717480561574925,68
Bogdan Bogdanović,16.4,0.06304030536899835,71
Chris Paul,16.4,0.06304030536899835,71
Mike Conley,16.2,0.028905805122248072,73
Harrison Barnes,16.1,0.011838554998873232,74
OG Anunoby,15.9,-0.022295945247877355,75
Dejounte Murray,15.7,-0.056430445494627945,76
LaMelo Ball,15.7,-0.056430445494627945,76
Terrence Ross,15.6,-0.07349769561800308,78
Kelly Oubre Jr.,15.4,-0.10763219586475337,79
Derrick White,15.4,-0.10763219586475337,79
Dennis Schröder,15.4,-0.10763219586475337,79
Gary Trent Jr.,15.3,-0.12469944598812852,82
Clint Capela,15.2,-0.14176669611150394,83
Tyler Herro,15.1,-0.1588339462348791,84
Coby White,15.1,-0.1588339462348791,84
De'Andre Hunter,15.0,-0.17590119635825424,86
Andre Drummond,14.9,-0.1929684464816294,87
Devonte' Graham,14.8,-0.2100356966050045,88
Derrick Rose,14.7,-0.22710294672837997,89
Kendrick Nunn,14.6,-0.24417019685175512,90
Lonzo Ball,14.6,-0.24417019685175512,90
Deandre Ayton,14.4,-0.2783046970985054,92
Rudy Gobert,14.3,-0.29537194722188054,93
Ben Simmons,14.3,-0.29537194722188054,93
Richaun Holmes,14.2,-0.312439197345256,95
Al Horford,14.2,-0.312439197345256,95
Joe Harris,14.1,-0.3295064474686311,97
Marvin Bagley III,14.1,-0.3295064474686311,97
Luguentz Dort,14.0,-0.3465736975920063,99
Rui Hachimura,13.8,-0.38070819783875653,100
Darius Bazley,13.7,-0.397775447962132,101
Lauri Markkanen,13.6,-0.4148426980855071,102
Mikal Bridges,13.5,-0.4319099482088823,103
Kelly Olynyk,13.5,-0.4319099482088823,103
LaMarcus Aldridge,13.5,-0.4319099482088823,103
Goran Dragic,13.4,-0.4489771983322574,106
Josh Jackson,13.4,-0.4489771983322574,106
Marcus Morris Sr.,13.4,-0.4489771983322574,106
Duncan Robinson,13.1,-0.5001789487023831,109
Marcus Smart,13.1,-0.5001789487023831,109
Tyrese Haliburton,13.0,-0.5172461988257583,111
Kyle Kuzma,12.9,-0.5343134489491335,112
P.J. Washington,12.9,-0.5343134489491335,112
Cole Anthony,12.9,-0.5343134489491335,112
Keldon Johnson,12.8,-0.5513806990725085,115
Jarrett Allen,12.8,-0.5513806990725085,115
Will Barton,12.7,-0.568447949195884,117
Alec Burks,12.7,-0.568447949195884,117
Miles Bridges,12.7,-0.568447949195884,117
Myles Turner,12.6,-0.5855151993192592,120
Seth Curry,12.5,-0.6025824494426343,121
Aaron Gordon,12.4,-0.6196496995660095,122
Kyle Anderson,12.4,-0.6196496995660095,122
Brook Lopez,12.3,-0.6367169496893846,124
Eric Bledsoe,12.2,-0.65378419981276,125
Saddiq Bey,12.2,-0.65378419981276,125
Joe Ingles,12.1,-0.6708514499361352,127
Josh Richardson,12.1,-0.6708514499361352,127
Kevin Huerter,11.9,-0.7049859501828855,129
Dāvis Bertāns,11.5,-0.7732549506763863,130
Jae'Sean Tate,11.3,-0.8073894509231366,131
