PlayerName,Blocks,Blocks_ZScore,Blocks_Rank
Myles Turner,3.4,6.1855556480635645,1
Rudy Gobert,2.7,4.654965560240726,2
Clint Capela,2.0,3.1243754724178854,3
Jakob Poeltl,1.8,2.6870640187542176,4
Anthony Davis,1.6,2.2497525650905486,5
Richaun Holmes,1.6,2.2497525650905486,5
Mitchell Robinson,1.5,2.0310968382587147,7
Brook Lopez,1.5,2.0310968382587147,7
Jarrett Allen,1.4,1.8124411114268801,9
Joel Embiid,1.4,1.8124411114268801,9
Kevin Durant,1.3,1.5937853845950463,11
Kristaps Porziņģis,1.3,1.5937853845950463,11
Deandre Ayton,1.2,1.3751296577632117,13
Christian Wood,1.2,1.3751296577632117,13
P.J. Washington,1.2,1.3751296577632117,13
Giannis Antetokounmpo,1.2,1.3751296577632117,13
Robert Covington,1.2,1.3751296577632117,13
LaMarcus Aldridge,1.1,1.1564739309313778,18
Karl-Anthony Towns,1.1,1.1564739309313778,18
Andre Drummond,1.1,1.1564739309313778,18
Jerami Grant,1.1,1.1564739309313778,18
John Collins,1.0,0.9378182040995434,22
Derrick White,1.0,0.9378182040995434,22
Bam Adebayo,1.0,0.9378182040995434,22
Andrew Wiggins,1.0,0.9378182040995434,22
Al Horford,0.9,0.7191624772677092,26
Mason Plumlee,0.9,0.7191624772677092,26
Michael Porter Jr.,0.9,0.7191624772677092,26
Jonas Valančiūnas,0.9,0.7191624772677092,26
Mikal Bridges,0.9,0.7191624772677092,26
Miles Bridges,0.8,0.5005067504358751,31
Wendell Carter Jr.,0.8,0.5005067504358751,31
Danny Green,0.8,0.5005067504358751,31
Josh Jackson,0.8,0.5005067504358751,31
Tobias Harris,0.8,0.5005067504358751,31
Draymond Green,0.8,0.5005067504358751,31
Kelly Oubre Jr.,0.8,0.5005067504358751,31
James Harden,0.8,0.5005067504358751,31
Kyle Anderson,0.8,0.5005067504358751,31
John Wall,0.8,0.5005067504358751,31
Fred VanVleet,0.7,0.2818510236040407,41
Aaron Gordon,0.7,0.2818510236040407,41
Kyrie Irving,0.7,0.2818510236040407,41
Steven Adams,0.7,0.2818510236040407,41
Shai Gilgeous-Alexander,0.7,0.2818510236040407,41
Pascal Siakam,0.7,0.2818510236040407,41
OG Anunoby,0.7,0.2818510236040407,41
Nikola Jokić,0.7,0.2818510236040407,41
Nikola Vučević,0.7,0.2818510236040407,41
Maxi Kleber,0.7,0.2818510236040407,41
Lonzo Ball,0.6,0.0631952967722065,51
Kyle Kuzma,0.6,0.0631952967722065,51
Jrue Holiday,0.6,0.0631952967722065,51
Justin Holiday,0.6,0.0631952967722065,51
Patrick Williams,0.6,0.0631952967722065,51
Jaylen Brown,0.6,0.0631952967722065,51
LeBron James,0.6,0.0631952967722065,51
Kelly Olynyk,0.6,0.0631952967722065,51
Trevor Ariza,0.6,0.0631952967722065,51
Nicolas Batum,0.6,0.0631952967722065,51
Zion Williamson,0.6,0.0631952967722065,51
