PlayerName,FieldGoalPct,FieldGoalPct_ZScore,FieldGoalPct_Rank
DeAndre Jordan,0.714,4.488301643837026,1
Tyson Chandler,0.671,3.7244043463111067,2
Rudy Gobert,0.661,3.5467538120027533,3
Dwight Howard,0.633,3.049332315939363,4
Tristan Thompson,0.6,2.4630855527217954,5
Marcin Gortat,0.579,2.0900194306742526,6
Nikola Jokić,0.578,2.0722543772434174,7
Steven Adams,0.571,1.9478990032275698,8
Cody Zeller,0.571,1.9478990032275698,8
Jonas Valančiūnas,0.557,1.6991882551958766,10
Hassan Whiteside,0.557,1.6991882551958766,10
LeBron James,0.548,1.5393027743183583,12
Karl-Anthony Towns,0.542,1.432712453733346,13
Kevin Durant,0.537,1.343887186579169,14
Mason Plumlee,0.536,1.3261221331483337,15
Andre Drummond,0.53,1.2195318125633214,16
Andre Iguodala,0.528,1.1840017057016508,17
Thaddeus Young,0.527,1.1662366522708154,18
Giannis Antetokounmpo,0.521,1.0596463316858031,19
Otto Porter Jr.,0.516,0.9708210645316263,20
Taj Gibson,0.515,0.953056011100791,21
Myles Turner,0.511,0.8819957973774495,22
Anthony Davis,0.505,0.7754054767924373,23
Maurice Harkless,0.503,0.7398753699307665,24
Pau Gasol,0.502,0.7221103164999312,25
Gorgui Dieng,0.502,0.7221103164999312,25
Gary Harris,0.502,0.7221103164999312,25
JaMychal Green,0.5,0.6865802096382604,28
T.J. Warren,0.495,0.5977549424840836,29
Blake Griffin,0.493,0.5622248356224128,30
Robin Lopez,0.493,0.5622248356224128,30
Jabari Parker,0.49,0.5089296753299067,32
Julius Randle,0.488,0.47339956846823594,33
Kawhi Leonard,0.485,0.42010440817572986,34
Bradley Beal,0.482,0.3668092478832237,35
Tobias Harris,0.481,0.3490441944523884,36
Seth Curry,0.481,0.3490441944523884,36
CJ McCollum,0.48,0.331279141021553,38
Jon Leuer,0.48,0.331279141021553,38
Serge Ibaka,0.48,0.331279141021553,38
James Johnson,0.479,0.31351408759071764,41
Michael Kidd-Gilchrist,0.477,0.2779839807290469,42
LaMarcus Aldridge,0.477,0.2779839807290469,42
George Hill,0.477,0.2779839807290469,42
Chris Paul,0.476,0.2602189272982115,45
Darren Collison,0.476,0.2602189272982115,45
Goran Dragic,0.475,0.24245387386737613,47
Brook Lopez,0.474,0.22468882043654076,48
Al Horford,0.473,0.2069237670057054,49
