PlayerName,Assists,Assists_ZScore,Assists_Rank
James Harden,11.2,3.6901761402313875,1
John Wall,10.7,3.458849060000828,2
Russell Westbrook,10.4,3.3200528118624932,3
Chris Paul,9.2,2.76486781930915,4
Ricky Rubio,9.1,2.7186024032630387,5
LeBron James,8.7,2.533540739078591,6
Jeff Teague,7.8,2.1171519946635846,7
Jrue Holiday,7.3,1.885824914433025,8
Draymond Green,7.0,1.7470286662946897,9
Kyle Lowry,7.0,1.7470286662946897,9
Rajon Rondo,6.7,1.608232418156354,11
T.J. McConnell,6.6,1.561967002110242,12
Stephen Curry,6.6,1.561967002110242,12
Elfrid Payton,6.5,1.5157015860641303,14
Eric Bledsoe,6.3,1.4231707539719065,15
Dennis Schröder,6.3,1.4231707539719065,15
Mike Conley,6.3,1.4231707539719065,15
Isaiah Thomas,5.9,1.2381090897874594,18
Damian Lillard,5.9,1.2381090897874594,18
Nicolas Batum,5.9,1.2381090897874594,18
Kyrie Irving,5.8,1.1918436737413471,21
Goran Dragic,5.8,1.1918436737413471,21
Deron Williams,5.6,1.0993128416491234,23
Kemba Walker,5.5,1.0530474256030118,24
Jimmy Butler III,5.5,1.0530474256030118,24
Giannis Antetokounmpo,5.4,1.0067820095569,26
Reggie Jackson,5.2,0.9142511774646762,27
Jameer Nelson,5.1,0.8679857614185641,28
Al Horford,5.0,0.8217203453724524,29
Nikola Jokić,4.9,0.7754549293263407,30
Blake Griffin,4.9,0.7754549293263407,30
D'Angelo Russell,4.8,0.7291895132802286,32
Kevin Durant,4.8,0.7291895132802286,32
Ty Lawson,4.8,0.7291895132802286,32
Matthew Dellavedova,4.7,0.682924097234117,35
Marcus Smart,4.6,0.6366586811880048,36
Darren Collison,4.6,0.6366586811880048,36
DeMarcus Cousins,4.6,0.6366586811880048,36
Marc Gasol,4.6,0.6366586811880048,36
Tony Parker,4.5,0.590393265141893,40
Derrick Rose,4.4,0.5441278490957814,41
Dion Waiters,4.3,0.4978624330496693,42
George Hill,4.2,0.4515970170035576,43
Malcolm Brogdon,4.2,0.4515970170035576,43
Patrick Beverley,4.2,0.4515970170035576,43
DeMar DeRozan,3.9,0.3128007688652219,46
Emmanuel Mudiay,3.9,0.3128007688652219,46
Dwyane Wade,3.8,0.26653535281911,48
Yogi Ferrell,3.7,0.2202699367729983,49
Paul Millsap,3.7,0.2202699367729983,49
James Johnson,3.6,0.17400452072688638,51
Julius Randle,3.6,0.17400452072688638,51
CJ McCollum,3.6,0.17400452072688638,51
Mason Plumlee,3.5,0.12773910468077448,54
Bradley Beal,3.5,0.12773910468077448,54
Gordon Hayward,3.5,0.12773910468077448,54
Kawhi Leonard,3.5,0.12773910468077448,54
Will Barton,3.4,0.08147368863466259,58
Devin Booker,3.4,0.08147368863466259,58
Andre Iguodala,3.4,0.08147368863466259,58
Khris Middleton,3.4,0.08147368863466259,58
Paul George,3.3,0.03520827258855068,62
Evan Turner,3.2,-0.011057143457561015,63
Monta Ellis,3.2,-0.011057143457561015,63
Tyler Johnson,3.2,-0.011057143457561015,63
Evan Fournier,3.0,-0.10358797554978481,66
Zach LaVine,3.0,-0.10358797554978481,66
Gary Harris,2.9,-0.14985339159589672,68
Carmelo Anthony,2.9,-0.14985339159589672,68
Wesley Matthews,2.9,-0.14985339159589672,68
Jabari Parker,2.8,-0.19611880764200862,71
Austin Rivers,2.8,-0.19611880764200862,71
Nikola Vučević,2.8,-0.19611880764200862,71
Rudy Gay,2.8,-0.19611880764200862,71
Seth Curry,2.7,-0.24238422368812032,75
Karl-Anthony Towns,2.7,-0.24238422368812032,75
Josh Richardson,2.6,-0.28864963973423224,77
Victor Oladipo,2.6,-0.28864963973423224,77
Jamal Crawford,2.6,-0.28864963973423224,77
Jordan Clarkson,2.6,-0.28864963973423224,77
Garrett Temple,2.6,-0.28864963973423224,77
Kentavious Caldwell-Pope,2.5,-0.33491505578034414,82
Eric Gordon,2.5,-0.33491505578034414,82
Kent Bazemore,2.4,-0.38118047182645604,84
Nik Stauskas,2.4,-0.38118047182645604,84
Andrew Wiggins,2.3,-0.42744588787256793,86
Tim Hardaway Jr.,2.3,-0.42744588787256793,86
Brook Lopez,2.3,-0.42744588787256793,86
Courtney Lee,2.3,-0.42744588787256793,86
Pau Gasol,2.3,-0.42744588787256793,86
Jae Crowder,2.2,-0.4737113039186796,91
Trevor Ariza,2.2,-0.4737113039186796,91
Sean Kilpatrick,2.2,-0.4737113039186796,91
Avery Bradley,2.2,-0.4737113039186796,91
Dario Šarić,2.2,-0.4737113039186796,91
Frank Kaminsky,2.2,-0.4737113039186796,91
Brandon Ingram,2.1,-0.5199767199647916,97
Klay Thompson,2.1,-0.5199767199647916,97
Anthony Davis,2.1,-0.5199767199647916,97
Danilo Gallinari,2.1,-0.5199767199647916,97
Joel Embiid,2.1,-0.5199767199647916,97
Wilson Chandler,2.0,-0.5662421360109035,102
Marcus Morris Sr.,2.0,-0.5662421360109035,102
Aaron Gordon,1.9,-0.6125075520570153,104
Gorgui Dieng,1.9,-0.6125075520570153,104
LaMarcus Aldridge,1.9,-0.6125075520570153,104
Kevin Love,1.9,-0.6125075520570153,104
Solomon Hill,1.8,-0.6587729681031271,108
Danny Green,1.8,-0.6587729681031271,108
Thabo Sefolosha,1.7,-0.705038384149239,110
Tobias Harris,1.7,-0.705038384149239,110
Ersan Ilyasova,1.7,-0.705038384149239,110
Markieff Morris,1.7,-0.705038384149239,110
Rodney McGruder,1.6,-0.7513038001953508,114
Rodney Hood,1.6,-0.7513038001953508,114
Kyle Korver,1.6,-0.7513038001953508,114
Al-Farouq Aminu,1.6,-0.7513038001953508,114
Thaddeus Young,1.6,-0.7513038001953508,114
Cody Zeller,1.6,-0.7513038001953508,114
Dirk Nowitzki,1.5,-0.7975692162414627,120
Robert Covington,1.5,-0.7975692162414627,120
Marcin Gortat,1.5,-0.7975692162414627,120
Kristaps Porziņģis,1.5,-0.7975692162414627,120
Jon Leuer,1.5,-0.7975692162414627,120
Otto Porter Jr.,1.5,-0.7975692162414627,120
JR Smith,1.5,-0.7975692162414627,120
Harrison Barnes,1.5,-0.7975692162414627,120
Tony Allen,1.4,-0.8438346322875746,128
Bojan Bogdanović,1.4,-0.8438346322875746,128
JJ Redick,1.4,-0.8438346322875746,128
Michael Kidd-Gilchrist,1.4,-0.8438346322875746,128
Marvin Williams,1.4,-0.8438346322875746,128
Iman Shumpert,1.4,-0.8438346322875746,128
Dwight Howard,1.4,-0.8438346322875746,128
Myles Turner,1.3,-0.8901000483336864,135
Luol Deng,1.3,-0.8901000483336864,135
Arron Afflalo,1.3,-0.8901000483336864,135
Allen Crabbe,1.2,-0.9363654643797983,138
Tony Snell,1.2,-0.9363654643797983,138
DeAndre Jordan,1.2,-0.9363654643797983,138
