PlayerName,FreeThrowPct,FreeThrowPct_ZScore,FreeThrowPct_Rank
CJ McCollum,0.912,1.3572328285807513,1
Isaiah Thomas,0.909,1.3261257721117423,2
Kyle Korver,0.905,1.28464969681973,3
Kyrie Irving,0.905,1.28464969681973,3
Danilo Gallinari,0.902,1.2535426403507208,5
Stephen Curry,0.898,1.2120665650587086,6
Paul George,0.898,1.2120665650587086,6
Damian Lillard,0.895,1.1809595085896996,8
Bojan Bogdanović,0.893,1.1602214709436933,9
Arron Afflalo,0.892,1.1498524521206903,10
Chris Paul,0.892,1.1498524521206903,10
Ricky Rubio,0.891,1.1394834332976873,12
JJ Redick,0.891,1.1394834332976873,12
Kawhi Leonard,0.88,1.0254242262446536,14
Khris Middleton,0.88,1.0254242262446536,14
Dirk Nowitzki,0.875,0.9735791321296383,16
Kevin Durant,0.875,0.9735791321296383,16
Derrick Rose,0.874,0.9632101133066353,18
Marvin Williams,0.873,0.9528410944836322,19
Kevin Love,0.871,0.9321030568376262,20
Reggie Jackson,0.868,0.9009960003686169,21
Courtney Lee,0.867,0.8906269815456139,22
Jon Leuer,0.867,0.8906269815456139,22
Jeff Teague,0.867,0.8906269815456139,22
Jimmy Butler III,0.865,0.8698889438996078,25
Malcolm Brogdon,0.865,0.8698889438996078,25
Harrison Barnes,0.861,0.8284128686075956,27
Darren Collison,0.86,0.8180438497845925,28
Ryan Anderson,0.86,0.8180438497845925,28
Mike Conley,0.859,0.8076748309615894,30
Jamal Crawford,0.857,0.7869367933155833,31
Nick Young,0.856,0.7765677744925803,32
Serge Ibaka,0.856,0.7765677744925803,32
Nicolas Batum,0.856,0.7765677744925803,32
Dennis Schröder,0.855,0.7661987556695773,35
Rudy Gay,0.855,0.7661987556695773,35
Matthew Dellavedova,0.854,0.7558297368465742,37
Klay Thompson,0.853,0.7454607180235712,38
Seth Curry,0.85,0.7143536615545619,39
Allen Crabbe,0.847,0.6832466050855528,40
James Harden,0.847,0.6832466050855528,40
Kemba Walker,0.847,0.6832466050855528,40
Eric Bledsoe,0.847,0.6832466050855528,40
Russell Westbrook,0.845,0.6625085674395467,44
Gordon Hayward,0.844,0.6521395486165437,45
Danny Green,0.844,0.6521395486165437,45
Sean Kilpatrick,0.843,0.6417705297935405,47
DeMar DeRozan,0.842,0.6314015109705375,48
Tobias Harris,0.841,0.6210324921475344,49
Eric Gordon,0.84,0.6106634733245314,50
Marc Gasol,0.837,0.5795564168555223,51
Markieff Morris,0.837,0.5795564168555223,51
Zach LaVine,0.836,0.5691873980325192,53
Carmelo Anthony,0.833,0.53808034156351,54
Otto Porter Jr.,0.832,0.527711322740507,55
Kentavious Caldwell-Pope,0.832,0.527711322740507,55
Karl-Anthony Towns,0.832,0.527711322740507,55
Devin Booker,0.832,0.527711322740507,55
Terrence Ross,0.831,0.5173423039175039,59
Yogi Ferrell,0.831,0.5173423039175039,59
Deron Williams,0.826,0.46549720980248865,61
Bradley Beal,0.825,0.4551281909794856,62
Evan Turner,0.825,0.4551281909794856,62
Nikola Jokić,0.825,0.4551281909794856,62
Robert Covington,0.822,0.4240211345104764,65
Kyle Lowry,0.819,0.3929140780414673,66
Wesley Matthews,0.816,0.3618070215724581,67
Gorgui Dieng,0.814,0.34106898392645196,68
Nik Stauskas,0.813,0.3306999651034489,69
LaMarcus Aldridge,0.812,0.320330946280447,70
Marcus Smart,0.812,0.320330946280447,70
Jonas Valančiūnas,0.811,0.30996192745744394,72
Jae Crowder,0.811,0.30996192745744394,72
T.J. McConnell,0.811,0.30996192745744394,72
Tony Snell,0.81,0.2995929086344409,75
Brook Lopez,0.81,0.2995929086344409,75
Myles Turner,0.809,0.2892238898114379,77
Solomon Hill,0.805,0.24774781451942562,78
Evan Fournier,0.805,0.24774781451942562,78
Anthony Davis,0.802,0.21664075805041647,80
JaMychal Green,0.802,0.21664075805041647,80
John Wall,0.801,0.2062717392274134,82
George Hill,0.801,0.2062717392274134,82
Al Horford,0.8,0.19590272040441034,84
Jordan Clarkson,0.798,0.17516468275840424,85
Ty Lawson,0.797,0.16479566393540118,86
Dwyane Wade,0.794,0.13368860746639202,87
Goran Dragic,0.79,0.0922125321743798,88
Iman Shumpert,0.789,0.08184351335137674,89
Kristaps Porziņģis,0.786,0.05073645688236758,90
Michael Kidd-Gilchrist,0.784,0.029998419236361467,91
Emmanuel Mudiay,0.784,0.029998419236361467,91
Garrett Temple,0.784,0.029998419236361467,91
Marcus Morris Sr.,0.784,0.029998419236361467,91
Rodney Hood,0.783,0.01962940041335841,95
Joel Embiid,0.783,0.01962940041335841,95
Dario Šarić,0.782,0.009260381590355356,97
D'Angelo Russell,0.782,0.009260381590355356,97
