PlayerName,Rebounds,Rebounds_ZScore,Rebounds_Rank
Hassan Whiteside,14.1,3.205459621401937,1
DeAndre Jordan,13.8,3.0951338952017258,2
Andre Drummond,13.8,3.0951338952017258,2
Rudy Gobert,12.8,2.727381474534356,4
Dwight Howard,12.7,2.6906062324676188,5
Karl-Anthony Towns,12.3,2.5435052642006712,6
Anthony Davis,11.8,2.3596290538669864,7
Tyson Chandler,11.5,2.249303327666775,8
Kevin Love,11.1,2.102202359399827,9
DeMarcus Cousins,11.0,2.06542711733309,10
Russell Westbrook,10.7,1.9551013911328787,11
Marcin Gortat,10.4,1.8447756649326683,12
Nikola Vučević,10.4,1.8447756649326683,12
Nikola Jokić,9.8,1.6241242125322464,14
Jonas Valančiūnas,9.5,1.5137984863320353,15
Tristan Thompson,9.2,1.403472760131824,16
Giannis Antetokounmpo,8.8,1.2563717918648767,17
LeBron James,8.6,1.1828213077314023,18
Julius Randle,8.6,1.1828213077314023,18
Kevin Durant,8.3,1.0724955815311916,20
James Harden,8.1,0.9989450973977173,21
Blake Griffin,8.1,0.9989450973977173,21
Gorgui Dieng,7.9,0.9253946132642435,23
Draymond Green,7.9,0.9253946132642435,23
Pau Gasol,7.8,0.8886193711975063,25
Joel Embiid,7.8,0.8886193711975063,25
Steven Adams,7.7,0.8518441291307696,27
Paul Millsap,7.7,0.8518441291307696,27
Mason Plumlee,7.5,0.7782936449972955,29
Al-Farouq Aminu,7.4,0.7415184029305586,30
LaMarcus Aldridge,7.3,0.7047431608638215,31
Myles Turner,7.3,0.7047431608638215,31
Kristaps Porziņģis,7.2,0.6679679187970846,33
JaMychal Green,7.1,0.6311926767303474,34
Michael Kidd-Gilchrist,7.0,0.5944174346636105,35
Serge Ibaka,6.8,0.5208669505301365,36
Al Horford,6.8,0.5208669505301365,36
Paul George,6.6,0.44731646639666245,38
Marvin Williams,6.6,0.44731646639666245,38
Wilson Chandler,6.5,0.4105412243299256,40
Dirk Nowitzki,6.5,0.4105412243299256,40
Markieff Morris,6.5,0.4105412243299256,40
Robert Covington,6.5,0.4105412243299256,40
Cody Zeller,6.5,0.4105412243299256,40
Otto Porter Jr.,6.4,0.37376598226318875,45
Robin Lopez,6.4,0.37376598226318875,45
Marc Gasol,6.3,0.3369907401964516,47
Dario Šarić,6.3,0.3369907401964516,47
Rudy Gay,6.3,0.3369907401964516,47
Nicolas Batum,6.2,0.3002154981297147,50
Jabari Parker,6.2,0.3002154981297147,50
Taj Gibson,6.2,0.3002154981297147,50
Jimmy Butler III,6.2,0.3002154981297147,50
Thaddeus Young,6.1,0.2634402560629775,54
Avery Bradley,6.1,0.2634402560629775,54
Patrick Beverley,5.9,0.18988977192950382,56
Ersan Ilyasova,5.9,0.18988977192950382,56
Carmelo Anthony,5.9,0.18988977192950382,56
P.J. Tucker,5.8,0.15311452986276664,59
Jae Crowder,5.8,0.15311452986276664,59
Kawhi Leonard,5.8,0.15311452986276664,59
Trevor Ariza,5.7,0.11633928779602977,62
Tony Allen,5.5,0.042788803662555726,63
Gordon Hayward,5.4,0.0060135615958188705,64
Jon Leuer,5.4,0.0060135615958188705,64
Brook Lopez,5.4,0.0060135615958188705,64
Luol Deng,5.3,-0.030761680470918314,67
DeMar DeRozan,5.2,-0.06753692253765517,68
Danilo Gallinari,5.2,-0.06753692253765517,68
Tobias Harris,5.1,-0.10431216460439235,70
T.J. Warren,5.1,-0.10431216460439235,70
Rajon Rondo,5.1,-0.10431216460439235,70
Aaron Gordon,5.1,-0.10431216460439235,70
Andre Roberson,5.1,-0.10431216460439235,70
Harrison Barnes,5.0,-0.1410874066711292,75
Chris Paul,5.0,-0.1410874066711292,75
James Johnson,4.9,-0.17786264873786606,77
Damian Lillard,4.9,-0.17786264873786606,77
Eric Bledsoe,4.8,-0.21463789080460324,79
Kyle Lowry,4.8,-0.21463789080460324,79
Elfrid Payton,4.7,-0.2514131328713401,81
Marcus Morris Sr.,4.6,-0.2881883749380773,82
Ryan Anderson,4.6,-0.2881883749380773,82
Frank Kaminsky,4.5,-0.32496361700481413,84
Stephen Curry,4.5,-0.32496361700481413,84
Dwyane Wade,4.5,-0.32496361700481413,84
Maurice Harkless,4.4,-0.361738859071551,87
Thabo Sefolosha,4.4,-0.361738859071551,87
Will Barton,4.3,-0.39851410113828817,89
Victor Oladipo,4.3,-0.39851410113828817,89
Khris Middleton,4.2,-0.43528934320502505,91
John Wall,4.2,-0.43528934320502505,91
Ricky Rubio,4.1,-0.4720645852717622,93
Andre Iguodala,4.0,-0.5088398273384991,94
Sean Kilpatrick,4.0,-0.5088398273384991,94
Jeff Teague,4.0,-0.5088398273384991,94
Andrew Wiggins,4.0,-0.5088398273384991,94
Tyler Johnson,4.0,-0.5088398273384991,94
