PlayerName,Points,Points_ZScore,Points_Rank
Russell Westbrook,31.6,2.9228356593878675,1
James Harden,29.1,2.4865505769219727,2
Isaiah Thomas,28.9,2.451647770324701,3
Anthony Davis,28.0,2.294585140636979,4
DeMar DeRozan,27.3,2.1724253175465287,5
DeMarcus Cousins,27.0,2.120071107650621,6
Damian Lillard,27.0,2.120071107650621,6
LeBron James,26.4,2.015362687858806,8
Kawhi Leonard,25.5,1.8583000581710842,9
Stephen Curry,25.3,1.8233972515738128,10
Kyrie Irving,25.2,1.8059458482751767,11
Kevin Durant,25.1,1.7884944449765414,12
Karl-Anthony Towns,25.1,1.7884944449765414,12
Jimmy Butler III,23.9,1.5790776053929114,14
Paul George,23.7,1.54417479879564,15
Andrew Wiggins,23.6,1.5267233954970045,16
Kemba Walker,23.2,1.456917782302461,17
Bradley Beal,23.1,1.4394663790038256,18
John Wall,23.1,1.4394663790038256,18
CJ McCollum,23.0,1.4220149757051896,20
Giannis Antetokounmpo,22.9,1.4045635724065535,21
Kyle Lowry,22.4,1.3173065559133745,22
Carmelo Anthony,22.4,1.3173065559133745,22
Klay Thompson,22.3,1.2998551526147393,24
Devin Booker,22.1,1.2649523460174679,25
Gordon Hayward,21.9,1.2300495394201958,26
Blake Griffin,21.6,1.177695329524289,27
Eric Bledsoe,21.1,1.09043831303111,28
Brook Lopez,20.5,0.9857298932392949,29
Mike Conley,20.5,0.9857298932392949,29
Goran Dragic,20.3,0.9508270866420235,31
Joel Embiid,20.2,0.9333756833433875,32
Jabari Parker,20.1,0.915924280044752,33
Marc Gasol,19.5,0.8112158602529371,34
Harrison Barnes,19.2,0.7588616503570296,35
Kevin Love,19.0,0.7239588437597582,36
Zach LaVine,18.9,0.7065074404611221,37
Rudy Gay,18.7,0.6716046338638507,38
Dwyane Wade,18.3,0.6017990206693078,39
Danilo Gallinari,18.2,0.5843476173706718,40
Chris Paul,18.1,0.5668962140720364,41
Paul Millsap,18.1,0.5668962140720364,41
Kristaps Porziņģis,18.1,0.5668962140720364,41
Derrick Rose,18.0,0.5494448107734003,44
Dennis Schröder,17.9,0.5319934074747643,45
LaMarcus Aldridge,17.3,0.42728498768295,46
Evan Fournier,17.2,0.40983358438431394,47
Hassan Whiteside,17.0,0.3749307777870425,48
George Hill,16.9,0.35747937448840644,49
Nikola Jokić,16.7,0.322576567891135,50
Avery Bradley,16.3,0.2527709546965921,51
Eric Gordon,16.2,0.23531955139795607,52
Tobias Harris,16.1,0.21786814809932067,53
Victor Oladipo,15.9,0.1829653415020489,54
Dion Waiters,15.8,0.16551393820341317,55
Wilson Chandler,15.7,0.14806253490477714,56
D'Angelo Russell,15.6,0.13061113160614143,57
Jrue Holiday,15.4,0.09570832500886998,58
Jeff Teague,15.3,0.07825692171023425,59
Nicolas Batum,15.1,0.043354115112962506,60
JJ Redick,15.0,0.02590271181432678,61
Gary Harris,14.9,0.008451308515691057,62
Serge Ibaka,14.8,-0.009000094782944666,63
Khris Middleton,14.7,-0.026451498081580697,64
Jordan Clarkson,14.7,-0.026451498081580697,64
Nikola Vučević,14.6,-0.04390290138021642,66
Myles Turner,14.5,-0.061354304678852147,67
Reggie Jackson,14.5,-0.061354304678852147,67
Tim Hardaway Jr.,14.5,-0.061354304678852147,67
