PlayerName,Turnovers,Turnovers_ZScore,Turnovers_Rank
Trae Young,4.8,3.318672638539739,1
James Harden,4.5,2.9678584479358507,2
Russell Westbrook,4.5,2.9678584479358507,2
Luka Dončić,4.3,2.733982320866591,4
LeBron James,3.9,2.266230066728073,5
Devin Booker,3.8,2.1492920031934437,6
Giannis Antetokounmpo,3.7,2.0323539396588144,7
Andre Drummond,3.6,1.9154158761241848,8
Ben Simmons,3.5,1.7984778125895553,9
Zach LaVine,3.4,1.6815397490549255,10
Bradley Beal,3.4,1.6815397490549255,10
D'Angelo Russell,3.3,1.564601685520296,12
Ja Morant,3.3,1.564601685520296,12
De'Aaron Fox,3.1,1.3307255584510373,14
Lonzo Ball,3.1,1.3307255584510373,14
Kyle Lowry,3.1,1.3307255584510373,14
Nikola Jokić,3.1,1.3307255584510373,14
Karl-Anthony Towns,3.1,1.3307255584510373,14
Joel Embiid,3.1,1.3307255584510373,14
Julius Randle,3.0,1.2137874949164076,20
Brandon Ingram,3.0,1.2137874949164076,20
Jrue Holiday,3.0,1.2137874949164076,20
Devonte' Graham,2.9,1.096849431381778,23
Damian Lillard,2.9,1.096849431381778,23
Lou Williams,2.8,0.9799113678471484,25
Bam Adebayo,2.8,0.9799113678471484,25
Donovan Mitchell,2.7,0.8629733043125193,27
Ricky Rubio,2.7,0.8629733043125193,27
Domantas Sabonis,2.7,0.8629733043125193,27
Spencer Dinwiddie,2.7,0.8629733043125193,27
Caris LeVert,2.6,0.7460352407778896,31
Paul George,2.6,0.7460352407778896,31
Kyrie Irving,2.6,0.7460352407778896,31
Dennis Schröder,2.6,0.7460352407778896,31
Kawhi Leonard,2.6,0.7460352407778896,31
Darius Garland,2.6,0.7460352407778896,31
Kevin Love,2.5,0.6290971772432601,37
Zion Williamson,2.5,0.6290971772432601,37
Derrick Rose,2.5,0.6290971772432601,37
Pascal Siakam,2.5,0.6290971772432601,37
Bojan Bogdanović,2.5,0.6290971772432601,37
Anthony Davis,2.5,0.6290971772432601,37
DeMar DeRozan,2.4,0.5121591137086304,43
Malcolm Brogdon,2.4,0.5121591137086304,43
Goran Dragic,2.4,0.5121591137086304,43
Collin Sexton,2.4,0.5121591137086304,43
Eric Bledsoe,2.4,0.5121591137086304,43
Andrew Wiggins,2.4,0.5121591137086304,43
Jayson Tatum,2.3,0.3952210501740008,49
Buddy Hield,2.3,0.3952210501740008,49
Draymond Green,2.3,0.3952210501740008,49
Chris Paul,2.3,0.3952210501740008,49
Jimmy Butler III,2.2,0.2782829866393717,53
Jamal Murray,2.2,0.2782829866393717,53
Khris Middleton,2.2,0.2782829866393717,53
RJ Barrett,2.2,0.2782829866393717,53
Jaylen Brown,2.2,0.2782829866393717,53
Fred VanVleet,2.2,0.2782829866393717,53
Terry Rozier,2.2,0.2782829866393717,53
Elfrid Payton,2.1,0.16134492310474208,60
Kemba Walker,2.1,0.16134492310474208,60
Deandre Ayton,2.1,0.16134492310474208,60
Tomas Satoransky,2.0,0.04440685957011245,63
Serge Ibaka,2.0,0.04440685957011245,63
Joe Ingles,2.0,0.04440685957011245,63
Mike Conley,2.0,0.04440685957011245,63
Markelle Fultz,2.0,0.04440685957011245,63
Taurean Prince,2.0,0.04440685957011245,63
Shai Gilgeous-Alexander,1.9,-0.07253120396451716,69
Josh Richardson,1.9,-0.07253120396451716,69
Rudy Gobert,1.9,-0.07253120396451716,69
Evan Fournier,1.9,-0.07253120396451716,69
Dejounte Murray,1.9,-0.07253120396451716,69
Jonas Valančiūnas,1.8,-0.18946926749914653,74
Tristan Thompson,1.8,-0.18946926749914653,74
John Collins,1.8,-0.18946926749914653,74
Hassan Whiteside,1.8,-0.18946926749914653,74
Gordon Hayward,1.8,-0.18946926749914653,74
CJ McCollum,1.8,-0.18946926749914653,74
Marcus Smart,1.7,-0.30640733103377615,80
Dillon Brooks,1.7,-0.30640733103377615,80
Kendrick Nunn,1.7,-0.30640733103377615,80
Coby White,1.7,-0.30640733103377615,80
Carmelo Anthony,1.7,-0.30640733103377615,80
Montrezl Harrell,1.7,-0.30640733103377615,80
Bruce Brown,1.7,-0.30640733103377615,80
Bogdan Bogdanović,1.7,-0.30640733103377615,80
Jaren Jackson Jr.,1.7,-0.30640733103377615,80
Wendell Carter Jr.,1.7,-0.30640733103377615,80
Cam Reddish,1.7,-0.30640733103377615,80
Marcus Morris Sr.,1.6,-0.42334539456840553,91
Clint Capela,1.6,-0.42334539456840553,91
P.J. Washington,1.6,-0.42334539456840553,91
De'Andre Hunter,1.6,-0.42334539456840553,91
Tyler Herro,1.6,-0.42334539456840553,91
Lauri Markkanen,1.6,-0.42334539456840553,91
Aaron Gordon,1.6,-0.42334539456840553,91
Kevin Huerter,1.6,-0.42334539456840553,91
Kristaps Porziņģis,1.6,-0.42334539456840553,91
Eric Paschall,1.6,-0.42334539456840553,91
Luke Kennard,1.5,-0.5402834581030351,101
Norman Powell,1.5,-0.5402834581030351,101
Kelly Oubre Jr.,1.5,-0.5402834581030351,101
Miles Bridges,1.5,-0.5402834581030351,101
Robert Covington,1.5,-0.5402834581030351,101
Joe Harris,1.5,-0.5402834581030351,101
Steven Adams,1.5,-0.5402834581030351,101
Will Barton,1.5,-0.5402834581030351,101
Ish Smith,1.4,-0.6572215216376648,109
Tobias Harris,1.4,-0.6572215216376648,109
Jonathan Isaac,1.4,-0.6572215216376648,109
Alec Burks,1.4,-0.6572215216376648,109
Nikola Vučević,1.4,-0.6572215216376648,109
Nemanja Bjelica,1.4,-0.6572215216376648,109
Myles Turner,1.4,-0.6572215216376648,109
Cedi Osman,1.4,-0.6572215216376648,109
LaMarcus Aldridge,1.4,-0.6572215216376648,109
Damion Lee,1.4,-0.6572215216376648,109
JJ Redick,1.3,-0.7741595851722941,119
T.J. Warren,1.3,-0.7741595851722941,119
Marc Gasol,1.3,-0.7741595851722941,119
Patrick Beverley,1.3,-0.7741595851722941,119
Josh Hart,1.2,-0.8910976487069238,123
Danilo Gallinari,1.2,-0.8910976487069238,123
Richaun Holmes,1.2,-0.8910976487069238,123
Harrison Barnes,1.2,-0.8910976487069238,123
Eric Gordon,1.2,-0.8910976487069238,123
Al Horford,1.2,-0.8910976487069238,123
Trevor Ariza,1.1,-1.008035712241553,129
Larry Nance Jr.,1.1,-1.008035712241553,129
Dāvis Bertāns,1.1,-1.008035712241553,129
Troy Brown Jr.,1.1,-1.008035712241553,129
Jarrett Allen,1.1,-1.008035712241553,129
Jae Crowder,1.1,-1.008035712241553,129
Rui Hachimura,1.1,-1.008035712241553,129
Jeremy Lamb,1.1,-1.008035712241553,129
Gary Harris,1.1,-1.008035712241553,129
OG Anunoby,1.1,-1.008035712241553,129
Garrett Temple,1.0,-1.1249737757761826,139
Mikal Bridges,1.0,-1.1249737757761826,139
Duncan Robinson,1.0,-1.1249737757761826,139
