PlayerName,Assists,Assists_ZScore,Assists_Rank
LeBron James,10.2,3.189523570411387,1
Trae Young,9.3,2.760147207907838,2
Luka Dončić,8.8,2.5216047842947553,3
Ricky Rubio,8.8,2.5216047842947553,3
Damian Lillard,8.0,2.139936906513822,5
Ben Simmons,8.0,2.139936906513822,5
Kyle Lowry,7.5,1.901394482900739,7
James Harden,7.5,1.901394482900739,7
Devonte' Graham,7.5,1.901394482900739,7
Ja Morant,7.3,1.8059775134555056,10
Elfrid Payton,7.2,1.7582690287328893,11
Malcolm Brogdon,7.1,1.7105605440102725,12
Russell Westbrook,7.0,1.662852059287656,13
Lonzo Ball,7.0,1.662852059287656,13
Nikola Jokić,7.0,1.662852059287656,13
Spencer Dinwiddie,6.8,1.5674350898424227,16
De'Aaron Fox,6.8,1.5674350898424227,16
Jrue Holiday,6.7,1.5197266051198062,18
Chris Paul,6.7,1.5197266051198062,18
Fred VanVleet,6.6,1.4720181203971894,20
Devin Booker,6.5,1.424309635674573,21
Kyrie Irving,6.4,1.3766011509519565,22
D'Angelo Russell,6.3,1.3288926662293397,23
Draymond Green,6.2,1.2811841815067233,24
Bradley Beal,6.1,1.2334756967841065,25
Jimmy Butler III,6.0,1.18576721206149,26
DeMar DeRozan,5.6,0.9949332731710234,27
Lou Williams,5.6,0.9949332731710234,27
Giannis Antetokounmpo,5.6,0.9949332731710234,27
Derrick Rose,5.6,0.9949332731710234,27
Tomas Satoransky,5.4,0.8995163037257905,31
Eric Bledsoe,5.4,0.8995163037257905,31
Joe Ingles,5.2,0.8040993342805572,33
Markelle Fultz,5.1,0.7563908495579404,34
Goran Dragic,5.1,0.7563908495579404,34
Bam Adebayo,5.1,0.7563908495579404,34
Domantas Sabonis,5.0,0.708682364835324,37
Marcus Smart,4.9,0.6609738801127075,38
Kawhi Leonard,4.9,0.6609738801127075,38
Ish Smith,4.9,0.6609738801127075,38
Jamal Murray,4.8,0.6132653953900907,41
Kemba Walker,4.8,0.6132653953900907,41
Caris LeVert,4.4,0.42243145649962455,43
Karl-Anthony Towns,4.4,0.42243145649962455,43
CJ McCollum,4.4,0.42243145649962455,43
Mike Conley,4.4,0.42243145649962455,43
Donovan Mitchell,4.3,0.3747229717770077,47
Khris Middleton,4.3,0.3747229717770077,47
Zach LaVine,4.2,0.32701448705439123,49
Brandon Ingram,4.2,0.32701448705439123,49
Gordon Hayward,4.1,0.2793060023317744,51
Terry Rozier,4.1,0.2793060023317744,51
Luke Kennard,4.1,0.2793060023317744,51
Dejounte Murray,4.1,0.2793060023317744,51
Dennis Schröder,4.0,0.23159751760915798,55
